detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,feature_set,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_liao_time_lr,lambda_sky_log_overlap,lambda_amp_time_lr,lambda_raw_snr_ratio,lambda_waveform_reciprocal_rank,lambda_waveform_margin,lambda_sky_norm_sep,val_selected_r@10,train_pairs,train_positive,fit_predict_elapsed_s
ET3,noisy,stage5_reranker_model_compare,weighted_sum_stage4_lambdas,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.9456666666666667,0.9856666666666667,0.9923333333333333,0.998,0.9986666666666667,1.0,1.0,90,0.9983333333333333,450,1.0,900,1.0,1.0,4.0,0.0,0.0,,,,,,,
ET3,noisy,stage5_reranker_model_compare,weighted_sum_stage4_lambdas,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.9096666666666666,0.975,0.986,0.996,0.9973333333333333,1.0,1.0,90,0.9966666666666667,450,1.0,900,1.0,1.0,4.0,0.0,0.0,,,,,,,
ET3,noisy,stage5_reranker_model_compare,weighted_sum_stage4_lambdas,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.9816666666666667,0.9963333333333333,0.9986666666666667,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,1.0,4.0,0.0,0.0,,,,,,,
ET3,noisy,stage5_reranker_model_compare,weighted_sum_stage4_lambdas,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.9456666666666667,0.9856666666666667,0.9923333333333333,0.998,0.9986666666666666,1.0,1.0,90,0.9983333333333333,450,1.0,900,1.0,1.0,4.0,0.0,0.0,,,,,,,
ET3,noisy,stage5_reranker_model_compare,weighted_sum_val_selected_extensible,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.984,0.9973333333333333,0.9985,0.9998333333333334,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,1.0,4.0,0.0,,0.0,0.0,4.0,0.999,,,
ET3,noisy,stage5_reranker_model_compare,weighted_sum_val_selected_extensible,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.9753333333333334,0.9946666666666667,0.997,0.9996666666666667,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,1.0,4.0,0.0,,0.0,0.0,4.0,0.999,,,
ET3,noisy,stage5_reranker_model_compare,weighted_sum_val_selected_extensible,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.9926666666666667,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,1.0,4.0,0.0,,0.0,0.0,4.0,0.999,,,
ET3,noisy,stage5_reranker_model_compare,weighted_sum_val_selected_extensible,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.984,0.9973333333333334,0.9984999999999999,0.9998333333333334,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,1.0,4.0,0.0,,0.0,0.0,4.0,0.999,,,
ET3,noisy,stage5_reranker_model_compare,logistic_regression,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.0011666666666666668,0.0016666666666666668,0.0035,0.007833333333333333,0.012166666666666666,0.13733333333333334,1507.5,90,0.011666666666666667,450,0.11466666666666667,900,0.31283333333333335,,,,,,,,,185969.0,5999.0,6.812939130701125
ET3,noisy,stage5_reranker_model_compare,logistic_regression,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.0,0.0003333333333333333,0.0013333333333333333,0.0026666666666666666,0.004,0.035333333333333335,2170.0,90,0.004,450,0.028,900,0.14166666666666666,,,,,,,,,185969.0,5999.0,6.812939130701125
