event_i,event_j,delta_t_days,ang_sep_deg,sky_norm_sep,sky_log_overlap,sky_step_weight,time_score,combined
GW150914,GW151012,28.002754629629628,96.88820047111183,8.353775024414062,-33.535888671875,-0.5,0.685893177986145,1.2951607512453138
GW150914,GW151226,102.74176157407187,75.02626074932925,8.220296859741211,-31.950523376464844,-0.5,-0.14472180604934692,0.6211195844233555
GW150914,GW170104,478.01474768518295,111.557267977954,11.933426856994629,-69.41514587402344,-0.5,1.9128148555755615,1.8022676249246434
GW150914,GW170608,632.6739826388878,102.34551478776285,15.504363059997559,-117.70852661132812,-0.5,-2.81665301322937,-2.8706567099020566
GW150914,GW170729,684.3789918981465,64.12618724914851,7.430992126464844,-25.661630630493164,-0.5,-2.81665301322937,-1.5298222273489657
GW150914,GW170809,694.9427939814798,64.8488144331467,10.888410568237305,-56.5888786315918,-0.5,-2.81665301322937,-1.9803351982478248
GW150914,GW170814,700.02776736111,38.94225866603058,7.987349033355713,-28.808738708496094,-0.5,-2.81665301322937,-1.5756657181733202
GW150914,GW170818,703.6905636574052,123.40770765962864,27.743440628051758,-381.5756530761719,-0.5,-2.81665301322937,-6.7143728744311115
GW150914,GW170823,709.1411354166655,91.35711328123551,7.702149868011475,-28.34953498840332,-0.5,-2.81665301322937,-1.5689765606970567
GW150914,GW190408_181802,1302.3522893518514,148.11349909518358,24.126062393188477,-288.4042053222656,-0.5,-1.8056234121322632,-4.508600288947333
GW150914,GW190412,1305.81944097222,127.94284398549038,21.869606018066406,-236.41424560546875,-0.5,-1.8056234121322632,-3.751269691407774
GW150914,GW190413_134308,1307.1613923611105,46.335538876502945,5.943028926849365,-15.508599281311035,-0.5,-1.8056234121322632,-0.5333675033342149
GW150914,GW190421_213856,1315.4918032407402,48.33150456708826,4.764488697052002,-9.725387573242188,-0.5,-1.8056234121322632,-0.4491242532446301
GW150914,GW190503_185404,1327.3773124999996,18.503168584219424,3.750425100326538,-3.9664127826690674,-0.5,-1.8056234121322632,-0.36523405900101147
GW150914,GW190512_180714,1336.3447916666667,80.88939758570575,13.972210884094238,-94.86478424072266,-0.5,-1.8056234121322632,-1.68933814268738
GW150914,GW190513_205428,1337.4609293981475,121.454956575922,17.491424560546875,-150.59205627441406,-0.5,-1.8056234121322632,-2.5011096550797975
GW150914,GW190517_055101,1340.8335347222205,63.18106665293717,8.726200103759766,-35.7740592956543,-0.5,-1.8056234121322632,-0.828571674017927
GW150914,GW190519_153544,1343.2395821759242,139.70354181166024,18.559011459350586,-169.99700927734375,-0.5,-1.8056234121322632,-2.7837789383988967
