event_i,event_j,delta_t_days,ang_sep_deg,sky_norm_sep,sky_log_overlap,sky_step_weight,time_score,combined
GW151012,GW170104,450.0119930555534,113.07642499276989,8.266658782958984,-33.14191818237305,-0.5,2.9344661235809326,3.1881264216171923
GW190925_232845,GW190929_012149,3.0785219907429484,61.165498319433915,3.442369222640991,-5.421222686767578,-0.5,2.3828184604644775,3.1289322260300825
GW191215_223052,GW191216_213338,0.9602557870386927,99.8327496638177,2.7192118167877197,-4.6447882652282715,0.10000000149011612,2.1476545333862305,2.9428694095891994
GW190519_153544,GW190521_074359,1.6723969907423963,51.283679666002435,6.063405990600586,-16.394071578979492,-0.5,2.3315253257751465,2.926041928203338
GW190725_174728,GW190728_064510,2.540070601850748,43.842796452109674,3.298733711242676,-4.356389045715332,-0.5,2.0915067195892334,2.899945634167237
GW191216_213338,GW191219_163120,2.7900694444444443,132.26811591891433,2.644148111343384,-5.06214714050293,0.10000000149011612,2.0915067195892334,2.8896649530019625
GW190706_222641,GW190708_232457,2.040462962962963,10.324969864518373,0.33640342950820923,-0.6460254192352295,1.0,1.983432412147522,2.863287249755953
GW190408_181802,GW200316_215756,343.15270717592426,61.11709276878604,2.4086685180664062,-3.1097002029418945,0.10000000149011612,1.981807827949524,2.826035724652537
GW190924_021846,GW190925_232845,1.8819247685179665,64.1719973279118,4.2655720710754395,-8.260956764221191,-0.5,1.983432412147522,2.752361591472403
GW151226,GW170104,375.2729861111111,56.619464426751414,4.857061386108398,-10.448783874511719,-0.5,1.981807827949524,2.7191283015143135
GW191219_163120,GW191222_033537,2.4613043981459404,105.85037171884154,1.8073582649230957,-3.5150156021118164,0.5,1.762874722480774,2.6363810458427714
GW190706_222641,GW190707_093326,0.4630185185179666,53.38596066611358,3.3145759105682373,-4.793066501617432,-0.5,1.7792835235595703,2.631535757022644
GW200208_130117,GW200209_085452,0.828868055553348,82.78203617452711,3.497251272201538,-6.185274124145508,-0.5,1.7950319051742554,2.6244732730038587
GW191127_050227,GW191129_134029,2.359740740739637,116.51644293805764,2.6565771102905273,-4.832111835479736,0.10000000149011612,1.762874722480774,2.617195086036933
GW151226,GW170608,529.932221064816,52.97473546675462,5.520823001861572,-13.503742218017578,-0.5,1.9128148555755615,2.6167213573517167
GW190512_180714,GW190517_055101,4.4887430555539,17.72179665071726,2.4782392978668213,-0.7467522025108337,0.10000000149011612,1.6296886205673218,2.564922893583455
GW190915_235702,GW190925_232845,9.98035300925926,47.74802199686158,3.1388137340545654,-4.111684322357178,-0.5,1.549420952796936,2.4485377547699145
GW191222_033537,GW191230_180458,8.603718750002207,104.37893723575652,2.39231014251709,-4.154533863067627,0.10000000149011612,1.549420952796936,2.447913571399754
GW200302_015811,GW200311_115853,9.417150462962411,128.19388075824503,2.2448618412017822,-4.350924968719482,0.10000000149011612,1.549420952796936,2.445052769156302
GW190924_021846,GW190929_012149,4.960446759260915,16.376181082333048,1.3775252103805542,0.358710378408432,0.5,1.429640769958496,2.4131259000269503
