family,mode,method,features,neg_per_pos,train_examples,train_positive,val_auc_sampled,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,valid
SIS,realistic,catalog_level_extended_observable_v2_hgb,"['log1p_delta_time', 'sky_sep', 'chirp_mass_logdiff', 'mass_ratio_absdiff', 'mass_1_logdiff', 'mass_2_logdiff', 'chi_eff_absdiff', 'spin_a1_absdiff', 'spin_a2_absdiff', 'luminosity_distance_logdiff']",500,1503000,3000,0.9999808706666666,0.8533333333333334,0.989,0.9986666666666667,1.0,1.0,1.0,1.0,3000
PM,realistic,catalog_level_extended_observable_v2_hgb,"['log1p_delta_time', 'sky_sep', 'chirp_mass_logdiff', 'mass_ratio_absdiff', 'mass_1_logdiff', 'mass_2_logdiff', 'chi_eff_absdiff', 'spin_a1_absdiff', 'spin_a2_absdiff', 'luminosity_distance_logdiff']",500,1503000,3000,0.9999998379999999,0.9946666666666667,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,1.0,3000
