detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_sky_step,val_selected_r@10,lambda_sky_log_overlap
LIGO,noisy,stage2_observed_sky,waveform_plus_observed_sky_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,6000,0.13816666666666666,0.25516666666666665,0.3175,0.5126666666666666,0.586,0.7403333333333333,50.5,90,0.5766666666666667,450,0.73,900,0.8021666666666667,0.25,0.30516666666666664,
LIGO,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,6000,0.06516666666666666,0.131,0.16883333333333334,0.2745,0.3398333333333333,0.6098333333333333,290.0,90,0.3298333333333333,450,0.5896666666666667,900,0.7551666666666667,,0.16233333333333333,4.0
LIGO,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,3000,0.076,0.14866666666666667,0.19033333333333333,0.318,0.387,0.643,218.5,90,0.37866666666666665,450,0.6246666666666667,900,0.7706666666666667,,0.16233333333333333,4.0
LIGO,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,3000,0.05433333333333333,0.11333333333333333,0.14733333333333334,0.231,0.2926666666666667,0.5766666666666667,356.5,90,0.281,450,0.5546666666666666,900,0.7396666666666667,,0.16233333333333333,4.0
LIGO,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,6000,0.06516666666666666,0.131,0.16883333333333334,0.2745,0.3398333333333333,0.6098333333333333,287.5,90,0.3298333333333333,450,0.5896666666666667,900,0.7551666666666668,,0.16233333333333333,4.0
LIGO,noisy,stage2_observed_sky,a90_50_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,199.73359647740486,500.0,6000,0.14966666666666667,0.27116666666666667,0.35433333333333333,0.5838333333333333,0.6611666666666667,0.799,28.0,90,0.6506666666666666,450,0.788,900,0.849,0.25,0.362,
LIGO,noisy,stage2_observed_sky,a90_50_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,199.73359647740486,500.0,3000,0.17466666666666666,0.323,0.4136666666666667,0.6306666666666667,0.6973333333333334,0.8226666666666667,20.0,90,0.6876666666666666,450,0.812,900,0.8666666666666667,0.25,0.362,
LIGO,noisy,stage2_observed_sky,a90_50_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,199.73359647740486,500.0,3000,0.12466666666666666,0.21933333333333332,0.295,0.537,0.625,0.7753333333333333,40.0,90,0.6136666666666667,450,0.764,900,0.8313333333333334,0.25,0.362,
LIGO,noisy,stage2_observed_sky,a90_50_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,199.73359647740486,500.0,6000,0.14966666666666667,0.27116666666666667,0.35433333333333333,0.5838333333333334,0.6611666666666667,0.7989999999999999,30.0,90,0.6506666666666667,450,0.788,900,0.849,0.25,0.362,
LIGO,noisy,stage2_observed_sky,a90_50_gaussian_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,199.73359647740486,500.0,6000,0.06383333333333334,0.13016666666666668,0.16633333333333333,0.26866666666666666,0.3325,0.5811666666666667,331.0,90,0.322,450,0.5601666666666667,900,0.7168333333333333,,0.16216666666666665,4.0
