detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,feature_set,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_liao_time_lr,lambda_sky_log_overlap,lambda_amp_time_lr,lambda_raw_snr_ratio,lambda_waveform_reciprocal_rank,lambda_waveform_margin,lambda_sky_norm_sep,val_selected_r@10,train_pairs,train_positive,fit_predict_elapsed_s
LIGO,noisy,stage5_reranker_model_compare,logistic_regression,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.12333333333333334,0.12533333333333332,0.13766666666666666,0.23566666666666666,0.297,0.5296666666666666,423.5,90,0.2853333333333333,450,0.5106666666666667,900,0.6303333333333333,,,,,,,,,185969.0,5999.0,17.503543205559254
LIGO,noisy,stage5_reranker_model_compare,logistic_regression,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.0815,0.08333333333333333,0.09283333333333332,0.16616666666666666,0.21666666666666667,0.40599999999999997,1134.25,90,0.20716666666666667,450,0.3895,900,0.496,,,,,,,,,185969.0,5999.0,17.503543205559254
LIGO,noisy,stage5_reranker_model_compare,hgb,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.31166666666666665,0.5413333333333333,0.6748333333333333,0.8713333333333333,0.9436666666666667,0.9731666666666666,4.0,90,0.9391666666666667,450,0.9721666666666666,900,0.9783333333333334,,,,,,,,,185969.0,5999.0,455.0677726874128
LIGO,noisy,stage5_reranker_model_compare,hgb,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.25166666666666665,0.4666666666666667,0.586,0.844,0.9163333333333333,0.9663333333333334,7.0,90,0.908,450,0.9646666666666667,900,0.9733333333333334,,,,,,,,,185969.0,5999.0,455.0677726874128
LIGO,noisy,stage5_reranker_model_compare,hgb,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.37166666666666665,0.616,0.7636666666666667,0.8986666666666666,0.971,0.98,3.0,90,0.9703333333333334,450,0.9796666666666667,900,0.9833333333333333,,,,,,,,,185969.0,5999.0,455.0677726874128
LIGO,noisy,stage5_reranker_model_compare,hgb,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.31166666666666665,0.5413333333333333,0.6748333333333334,0.8713333333333333,0.9436666666666667,0.9731666666666667,5.0,90,0.9391666666666667,450,0.9721666666666666,900,0.9783333333333333,,,,,,,,,185969.0,5999.0,455.0677726874128
LIGO,noisy,stage5_reranker_model_compare,mlp_tabular,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.44733333333333336,0.609,0.6683333333333333,0.8111666666666667,0.8643333333333333,0.9273333333333333,2.0,90,0.8576666666666667,450,0.9255,900,0.941,,,,,,,,,185969.0,5999.0,60.73129080142826
LIGO,noisy,stage5_reranker_model_compare,mlp_tabular,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.182,0.38666666666666666,0.4856666666666667,0.715,0.7936666666666666,0.8963333333333333,12.0,90,0.783,450,0.8933333333333333,900,0.9186666666666666,,,,,,,,,185969.0,5999.0,60.73129080142826
LIGO,noisy,stage5_reranker_model_compare,mlp_tabular,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.7126666666666667,0.8313333333333334,0.851,0.9073333333333333,0.935,0.9583333333333334,1.0,90,0.9323333333333333,450,0.9576666666666667,900,0.9633333333333334,,,,,,,,,185969.0,5999.0,60.73129080142826
LIGO,noisy,stage5_reranker_model_compare,mlp_tabular,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.44733333333333336,0.609,0.6683333333333333,0.8111666666666666,0.8643333333333334,0.9273333333333333,6.5,90,0.8576666666666667,450,0.9255,900,0.9410000000000001,,,,,,,,,185969.0,5999.0,60.73129080142826
LIGO,noisy,stage5_reranker_model_compare,lightgbm,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.46066666666666667,0.7013333333333334,0.7521666666666667,0.8501666666666666,0.8975,0.9766666666666667,2.0,90,0.8946666666666667,450,0.9738333333333333,900,0.982,,,,,,,,,185969.0,5999.0,115.15335351135582
LIGO,noisy,stage5_reranker_model_compare,lightgbm,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.223,0.47833333333333333,0.5663333333333334,0.751,0.8426666666666667,0.974,6.0,90,0.8376666666666667,450,0.9693333333333334,900,0.9806666666666667,,,,,,,,,185969.0,5999.0,115.15335351135582
LIGO,noisy,stage5_reranker_model_compare,lightgbm,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.6983333333333334,0.9243333333333333,0.938,0.9493333333333334,0.9523333333333334,0.9793333333333333,1.0,90,0.9516666666666667,450,0.9783333333333334,900,0.9833333333333333,,,,,,,,,185969.0,5999.0,115.15335351135582
LIGO,noisy,stage5_reranker_model_compare,lightgbm,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.46066666666666667,0.7013333333333334,0.7521666666666667,0.8501666666666667,0.8975,0.9766666666666666,3.5,90,0.8946666666666667,450,0.9738333333333333,900,0.982,,,,,,,,,185969.0,5999.0,115.15335351135582
