detector,data_mode,family,method,features,sky_model,sky_best_epoch,sky_sigma_rad,sky_val_mean_error_rad,sky_val_median_error_rad,sky_val_frac_err_lt_1p0,val_auc_sampled,waveform_r@1,waveform_r@5,waveform_r@10,waveform_median_true_rank,r@1,r@5,r@10,r@50,r@100,r@500,median_rank,valid
LIGO,noisy,SIS,ligo_cnn_sky_predictor_rerank,"log1p_delta_time_obs,cnn_predicted_log_sky_overlap,waveform_score,waveform_reciprocal_rank",SkyCNN_dual_detector_waveform,13,1.2846834659576416,1.3483057022094727,1.2846834659576416,0.33666666666666667,0.9752871033333333,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.087,0.17333333333333334,0.226,0.42133333333333334,0.544,0.8283333333333334,79.0,3000
LIGO,noisy,PM,ligo_cnn_sky_predictor_rerank,"log1p_delta_time_obs,cnn_predicted_log_sky_overlap,waveform_score,waveform_reciprocal_rank",SkyCNN_dual_detector_waveform,15,1.372391700744629,1.3958067893981934,1.372391700744629,0.3055555555555556,0.9995452375555556,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.2703333333333333,0.688,0.934,1.0,1.0,1.0,3.0,3000
