backbone,model,mode,r@1,r@5,r@10,mrr,f1,f2,cand_edges,cand_pair_recall,compression,tier1_precision,tier1_recall,tier12_recall,cal_ece,run
inceptiontime,PM,noisy,0.5226666666666666,0.7133333333333334,0.7773333333333333,0.6051674604358701,0.45114942528735635,0.4310818231740802,720,0.5146666666666667,878.125,0.8129496402877698,0.30133333333333334,0.47733333333333333,0.12082080486127071,inceptiontime_pm_noisy_ep50_lr0p001_w2
inceptiontime,PM,pure,0.9586666666666667,0.98,0.984,0.968800378846318,0.9296551724137931,0.9108108108108108,413,0.9013333333333333,1530.8716707021792,0.9936908517350158,0.84,0.896,0.047458803482871195,inceptiontime_pm_pure_ep50_lr0p001_w2
inceptiontime,SIS,noisy,0.688,0.8173333333333334,0.856,0.7461560025982981,0.6486486486486487,0.5815279361459521,297,0.5706666666666667,2128.787878787879,0.9921875,0.33866666666666667,0.5253333333333333,0.12208121197818708,inceptiontime_sis_noisy_ep50_lr0p001_w2
inceptiontime,SIS,pure,0.9146666666666666,0.952,0.9626666666666667,0.9322831085639979,0.9009762900976289,0.8767643865363736,411,0.8666666666666667,1538.3211678832117,0.993421052631579,0.8053333333333333,0.8613333333333333,0.055629145511377306,inceptiontime_sis_pure_ep50_lr0p001_w2
