detector,data_mode,delta_time_only,delta_time_plus_predicted_sky_overlap,delta_time_plus_true_sky_overlap,delta_time_plus_true_sky_sep,waveform_only
ET,noisy,0.987,0.9873333333333333,1.0,0.9996666666666667,0.5393333333333333
ET,pure,0.997,0.999,1.0,1.0,0.9863333333333333
LIGO,noisy,0.9273333333333333,0.9373333333333334,1.0,0.9993333333333333,0.029
LIGO,pure,0.9993333333333333,0.9993333333333333,1.0,1.0,0.99
