detector,data_mode,family,predictor,sky_predictor_input,sky_sigma_rad,sky_val_mean_error_rad,sky_val_median_error_rad,sky_val_frac_err_lt_0p5,sky_val_frac_err_lt_1p0,val_auc_sampled,waveform_r@1,waveform_r@5,waveform_r@10,waveform_median_true_rank,rerank_r@1,rerank_r@5,rerank_r@10,rerank_r@50,rerank_r@100,rerank_r@500,rerank_median_true_rank,valid
LIGO,noisy,SIS,waveform_stats_ridge,waveform_stats,1.3697509765625,1.4224257469177246,1.3697509765625,0.08266666666666667,0.30577777777777776,0.9718963092222221,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.089,0.17066666666666666,0.21733333333333332,0.409,0.537,0.8296666666666667,81.0,3000
LIGO,noisy,SIS,fusion_stats_embedding_ridge,waveform_stats_plus_matching_embedding,1.3751914501190186,1.4193592071533203,1.3751914501190186,0.08755555555555555,0.3051111111111111,0.9711961496666667,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.07933333333333334,0.16266666666666665,0.213,0.4103333333333333,0.5293333333333333,0.8303333333333334,86.0,3000
LIGO,noisy,PM,waveform_stats_ridge,waveform_stats,1.37864089012146,1.4171535968780518,1.37864089012146,0.08466666666666667,0.30866666666666664,0.99951254,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.27,0.709,0.9496666666666667,1.0,1.0,1.0,3.0,3000
LIGO,noisy,PM,fusion_stats_embedding_ridge,waveform_stats_plus_matching_embedding,1.3824326992034912,1.418591022491455,1.3824326992034912,0.08155555555555556,0.30777777777777776,0.9993830473333333,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.31266666666666665,0.7183333333333334,0.9476666666666667,1.0,1.0,1.0,3.0,3000
