event_id,source_id,kind,geocent_time,ra,dec,sky_area_90_deg2,network_snr,family,tag,pair_id,source_index
0,0,SIS,1299588110.6226294,1.63102210276377,-0.5395065206189833,33.558135687797225,20.714875773185604,SIS,L1,0,4380
1,1,SIS,1414333293.0292375,0.0854742863113977,-0.1322971372235964,167.13254442185595,9.28219597819472,SIS,L1,1,1098
2,2,SIS,1255435928.7397337,6.122311277842664,0.4664385744770284,1692.6445581535777,2.916744323951689,SIS,L1,2,1479
3,3,SIS,1295544545.6816442,4.9917517587338365,0.5875386290323843,231.29138405063233,7.890445392854385,SIS,L1,3,3514
4,4,SIS,1242753407.5377543,6.1365181918077605,-0.2651503897661152,305.7138901324608,6.863152678434655,SIS,L1,4,7494
5,5,SIS,1344594293.227291,3.041367546613691,0.3350251935270318,2000.0,2.616764769341738,SIS,L1,5,6075
6,6,SIS,1279832653.919679,3.1792821391437154,0.9314734846145284,670.038211130096,4.635872262141027,SIS,L1,6,4302
7,7,SIS,1237826285.307301,1.4379775715572638,0.2333129532623682,131.461624072703,10.466024557368913,SIS,L1,7,3969
8,8,SIS,1180389027.824253,3.6108068582766224,-0.2551709953384712,235.725683816227,7.815878398949346,SIS,L1,8,7827
9,9,SIS,1324962928.9794118,1.7393870020437,-0.1504862382820235,47.564635344079896,17.399595828531993,SIS,L1,9,5177
10,10,SIS,1364748055.963884,1.5611566760294224,0.7895580838540022,455.52847845387856,5.622422521955292,SIS,L1,10,1671
11,11,SIS,1415891084.588217,4.324317730707,-0.626397931907415,367.77403061231036,6.257353872188991,SIS,L1,11,6427
12,12,SIS,1411282658.3777351,2.3361587574166185,-0.1758070440133774,1097.2053067650297,3.622741084389251,SIS,L1,12,3810
13,13,SIS,1340814614.7623272,3.405472708059788,0.1366907624164121,137.73168545102308,10.225023504725996,SIS,L1,13,9970
14,14,SIS,1215303019.799233,4.250507799827902,0.5544228422349055,14.878693650554284,31.10991647746937,SIS,L1,14,8228
15,15,SIS,1310611714.711809,5.67564080475956,0.9422517105851608,193.44400304412198,8.627870356105245,SIS,L1,15,9213
16,16,SIS,1405522388.848742,3.669056468877376,0.5216600180720179,1873.9825862654134,2.7720334754764564,SIS,L1,16,8494
17,17,SIS,1242620486.8936007,5.615050724771235,0.3856763099946804,779.842456786523,4.297123229358195,SIS,L1,17,7744
18,18,SIS,1405770175.2433538,0.5596177229627449,-1.022934171034264,389.05020012036465,6.083848973647398,SIS,L1,18,2501
19,19,SIS,1383994351.438691,2.4415996653530896,-0.1393141239056237,50.47798150679148,16.890023582592505,SIS,L1,19,3566
20,20,SIS,1424283539.904996,5.51578980171676,-0.2432353496697808,79.02182923102296,13.499189896039892,SIS,L1,20,5230
21,21,SIS,1362762041.6909244,0.4752248350232236,-0.206915224360282,814.1932655989336,4.205498603514459,SIS,L1,21,717
22,22,SIS,1212671764.748025,2.620340610001618,-0.3774014681163465,64.87034003944669,14.899035633106635,SIS,L1,22,9723
23,23,SIS,1235207820.4690614,4.588675716425927,-0.3154873825733745,300.6778099562576,6.920389792635942,SIS,L1,23,7933
24,24,SIS,1238976676.812614,3.525281759749124,0.1413717362538283,102.07304711643717,11.87751824523974,SIS,L1,24,2866
25,25,SIS,1278231284.2151642,3.099113821452816,-0.871543138229935,62.45168022612286,15.184803714013244,SIS,L1,25,9002
26,26,SIS,1330153111.142613,0.3134395135740063,0.9562609722444966,129.35289735285266,10.55098888735891,SIS,L1,26,8489
27,27,SIS,1313726291.2859664,5.3591319858492446,-0.8076122122247806,227.10607991042616,7.962819394470524,SIS,L1,27,5103
28,28,SIS,1128237572.9002943,0.0107825532657656,-1.343466643001587,308.24450206289293,6.834922215732523,SIS,L1,28,6001
