detector,data_mode,catalog,candidate_kind,subset,variant,stage,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,train_s,mean_epoch_s,sky_sigma_rad,sky_val_mean_angular_error_rad,sky_val_median_angular_error_rad,val_hard_candidate_kind,val_hard_n_queries,val_hard_target_negatives_per_query,val_hard_shortage_queries,val_hard_mean_used_eps,val_hard_p_dt_pos_lt_dt_neg,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,val_auc_hard_sampled,train_examples,train_positive
LIGO,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,waveform_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,919.4618458868936,18.38902541719377,1.548799991607666,1.5412946939468384,1.548799991607666,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.9568333333333333,0.9818333333333333,0.9898333333333333,0.9955,0.9965,0.999,1.0,90,0.9965,450,0.999,900,0.9995,,,
LIGO,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,waveform_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,919.4618458868936,18.38902541719377,1.548799991607666,1.5412946939468384,1.548799991607666,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.9566666666666667,0.9826666666666667,0.9893333333333333,0.995,0.9956666666666667,0.999,1.0,90,0.9956666666666667,450,0.999,900,0.9996666666666667,,,
LIGO,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,waveform_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,919.4618458868936,18.38902541719377,1.548799991607666,1.5412946939468384,1.548799991607666,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.957,0.981,0.9903333333333333,0.996,0.9973333333333333,0.999,1.0,90,0.9973333333333333,450,0.999,900,0.9993333333333333,,,
LIGO,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,waveform_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,919.4618458868936,18.38902541719377,1.548799991607666,1.5412946939468384,1.548799991607666,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.9568333333333333,0.9818333333333333,0.9898333333333333,0.9955,0.9964999999999999,0.999,1.0,90,0.9964999999999999,450,0.999,900,0.9995,,,
LIGO,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,time_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,919.4618458868936,18.38902541719377,1.548799991607666,1.5412946939468384,1.548799991607666,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.1365,0.4116666666666667,0.5308333333333334,0.6331666666666667,0.6896666666666667,0.8473333333333334,9.0,90,0.6778333333333333,450,0.8386666666666667,900,0.9093333333333333,,,
LIGO,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,time_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,919.4618458868936,18.38902541719377,1.548799991607666,1.5412946939468384,1.548799991607666,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.009333333333333334,0.053,0.10266666666666667,0.2663333333333333,0.37933333333333336,0.6946666666666667,188.0,90,0.3556666666666667,450,0.6773333333333333,900,0.8186666666666667,,,
LIGO,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,time_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,919.4618458868936,18.38902541719377,1.548799991607666,1.5412946939468384,1.548799991607666,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.26366666666666666,0.7703333333333333,0.959,1.0,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,,,
LIGO,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,time_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,919.4618458868936,18.38902541719377,1.548799991607666,1.5412946939468384,1.548799991607666,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.1365,0.4116666666666667,0.5308333333333333,0.6331666666666667,0.6896666666666667,0.8473333333333333,95.5,90,0.6778333333333333,450,0.8386666666666667,900,0.9093333333333333,,,
LIGO,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,true_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,919.4618458868936,18.38902541719377,1.548799991607666,1.5412946939468384,1.548799991607666,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
LIGO,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,true_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,919.4618458868936,18.38902541719377,1.548799991607666,1.5412946939468384,1.548799991607666,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
LIGO,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,true_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,919.4618458868936,18.38902541719377,1.548799991607666,1.5412946939468384,1.548799991607666,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
