epoch,loss,epoch_s,batches,batch_pairs,pairs_per_s
1,1.9627590102886936,7.321731681004167,109,13952,1905.5601335675415
2,0.726902029656489,6.110888957977295,109,13952,2283.1375428261936
3,0.43677181005477905,6.03106626868248,109,13952,2313.355446357563
4,0.3283489269947787,6.1347131840884686,109,13952,2274.27095307196
5,0.26584268094749625,6.145084979943931,109,13952,2270.432393617981
6,0.21135134967642094,6.1489074332639575,109,13952,2269.0209848538916
7,0.1858018322275319,6.153435563668609,109,13952,2267.3512797267313
8,0.16751234493124376,6.117015168070793,109,13952,2280.850973335126
9,0.14176122201692073,6.038315078243613,109,13952,2310.5783350507554
10,0.12562460117383834,6.113847956061363,109,13952,2282.032543214911
11,0.11120803281664848,6.103748168796301,109,13952,2285.8085907484983
12,0.09982443392413472,6.162471006624401,109,13952,2264.0268789909405
13,0.09496360713052093,6.141381038352847,109,13952,2271.8017190058613
14,0.0823019941875694,6.128207967616618,109,13952,2276.685137600872
15,0.07988730818033218,6.115992724895477,109,13952,2281.2322753765934
16,0.0777473371441758,6.144918164238334,109,13952,2270.4940289028827
17,0.0634517968042728,6.128493909724057,109,13952,2276.578912457173
18,0.057422798502882684,6.176453883759677,109,13952,2258.901347371068
19,0.05816909927157087,6.170325579121709,109,13952,2261.1448652254007
20,0.055462411203242225,6.195647739805281,109,13952,2251.903366029407
21,0.05366971196794729,6.193556493148208,109,13952,2252.6637184039223
22,0.04887353211914727,6.12686541583389,109,13952,2277.1840171229023
23,0.043960847814968965,6.147116342559457,109,13952,2269.682111497315
24,0.04138762579051727,6.16812730114907,109,13952,2261.950721639753
25,0.03988722800661664,6.179818963631988,109,13952,2257.671314015349
26,0.03963886816567237,6.1544760931283236,109,13952,2266.96794152436
27,0.03860944492417738,6.121823973953724,109,13952,2279.059322737963
28,0.03662947226965099,6.11998372990638,109,13952,2279.744622820007
29,0.036493483452348534,6.148933008313179,109,13952,2269.0115473916044
30,0.03422557918030188,6.149582854472101,109,13952,2268.7717736584073
31,0.035840549942003475,6.160677659325302,109,13952,2264.6859276724404
32,0.03697600130231009,6.150247910991311,109,13952,2268.5264402213643
33,0.03335690382150335,6.1423818198964,109,13952,2271.431573141007
34,0.036636377556608354,6.1465490609407425,109,13952,2269.8915865912923
35,0.033076636834975776,6.169899525120854,109,13952,2261.30100550166
36,0.0330447020743965,6.146780174225569,109,13952,2269.8062407539746
37,0.03111697770996925,6.1737774489447474,109,13952,2259.8806185319727
38,0.03006490391738918,6.155528770759702,109,13952,2266.580259729348
39,0.02915023872201596,6.172281209379435,109,13952,2260.428442372078
40,0.025449246065605672,6.137235729955137,109,13952,2273.336175096209
41,0.024544233815112244,6.137701948173344,109,13952,2273.163493081036
42,0.022617264283359598,6.1643350943923,109,13952,2263.3422398941525
43,0.024428415018210716,6.103902205824852,109,13952,2285.750906475179
44,0.026509211902771522,6.173960957676172,109,13952,2259.813448067449
45,0.02510734196376363,6.1543164709582925,109,13952,2267.026739011282
46,0.026423058754533803,6.159601656720042,109,13952,2265.0815389625977
47,0.02137160666902131,6.150136134587228,109,13952,2268.5676698336047
48,0.022889252922950534,6.1373060662299395,109,13952,2273.3101216460136
49,0.022605064025986086,6.150717253796756,109,13952,2268.3533357654533
50,0.021957247834140006,6.177684516645968,109,13952,2258.4513602800357
