detector,data_mode,stage,pair_scorer,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,topk_edges,true_systems,pred_components,system_recall,system_precision,mean_component_purity,mean_component_size
LIGO,noisy,stage6_catalog_graph_discovery,waveform_only,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1,2999,2364,0.008669556518839614,0.00972927241962775,0.6572884776438076,3.202622673434856
LIGO,noisy,stage6_catalog_graph_discovery,waveform_only,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,2,2999,82,0.812270756918973,0.012195121951219513,0.5056314522089502,100.35365853658537
LIGO,noisy,stage6_catalog_graph_discovery,waveform_only,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,5,2999,1,0.9666555518506169,1.0,0.6693136698808848,8815.0
LIGO,noisy,stage6_catalog_graph_discovery,weighted_sum_best_features,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1,2999,2723,0.40246748916305436,0.42930591259640105,0.7076128140028249,2.9416085200146895
LIGO,noisy,stage6_catalog_graph_discovery,weighted_sum_best_features,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,2,2999,183,0.7912637545848616,0.7650273224043715,0.6397784004822588,46.885245901639344
LIGO,noisy,stage6_catalog_graph_discovery,weighted_sum_best_features,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,5,2999,1,0.9989996665555185,1.0,0.6704685228670468,8943.0
LIGO,noisy,stage6_catalog_graph_discovery,hgb,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1,2999,1816,0.21140380126708902,0.32268722466960353,0.7019805241108501,4.115088105726873
LIGO,noisy,stage6_catalog_graph_discovery,hgb,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,2,2999,20,0.8742914304768256,0.3,0.48160064773293476,404.55
LIGO,noisy,stage6_catalog_graph_discovery,hgb,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,5,2999,1,0.9606535511837279,1.0,0.6748508490133088,8716.0
