detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_sky_step,val_selected_r@10,lambda_sky_log_overlap
ET,noisy,stage2_observed_sky,waveform_plus_observed_sky_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,6000,0.7738333333333334,0.888,0.9151666666666667,0.9535,0.9628333333333333,0.983,1.0,90,0.9615,450,0.9816666666666667,900,0.988,0.25,0.9158333333333334,
ET,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,6000,0.6225,0.7543333333333333,0.793,0.8718333333333333,0.901,0.9603333333333334,1.0,90,0.8976666666666666,450,0.9563333333333334,900,0.9815,,0.797,4.0
ET,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,3000,0.6776666666666666,0.796,0.8283333333333334,0.901,0.9313333333333333,0.9736666666666667,1.0,90,0.928,450,0.973,900,0.987,,0.797,4.0
ET,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,3000,0.5673333333333334,0.7126666666666667,0.7576666666666667,0.8426666666666667,0.8706666666666667,0.947,1.0,90,0.8673333333333333,450,0.9396666666666667,900,0.976,,0.797,4.0
ET,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,6000,0.6225,0.7543333333333333,0.793,0.8718333333333333,0.901,0.9603333333333333,1.0,90,0.8976666666666666,450,0.9563333333333333,900,0.9815,,0.797,4.0
ET,noisy,stage2_observed_sky,a90_100_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,50.0,118.43501651034003,6000,0.79,0.9131666666666667,0.9456666666666667,0.979,0.9845,0.9921666666666666,1.0,90,0.9836666666666667,450,0.9918333333333333,900,0.9943333333333333,0.25,0.9431666666666667,
ET,noisy,stage2_observed_sky,a90_100_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,50.0,118.43501651034003,3000,0.829,0.935,0.964,0.9853333333333333,0.988,0.995,1.0,90,0.9876666666666667,450,0.9943333333333333,900,0.997,0.25,0.9431666666666667,
ET,noisy,stage2_observed_sky,a90_100_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,50.0,118.43501651034003,3000,0.751,0.8913333333333333,0.9273333333333333,0.9726666666666667,0.981,0.9893333333333333,1.0,90,0.9796666666666667,450,0.9893333333333333,900,0.9916666666666667,0.25,0.9431666666666667,
ET,noisy,stage2_observed_sky,a90_100_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,50.0,118.43501651034003,6000,0.79,0.9131666666666667,0.9456666666666667,0.979,0.9844999999999999,0.9921666666666666,1.0,90,0.9836666666666667,450,0.9918333333333333,900,0.9943333333333333,0.25,0.9431666666666667,
ET,noisy,stage2_observed_sky,a90_100_gaussian_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,50.0,118.43501651034003,6000,0.6311666666666667,0.7585,0.8005,0.8798333333333334,0.9071666666666667,0.9643333333333334,1.0,90,0.904,450,0.961,900,0.9863333333333333,,0.8058333333333333,4.0
