detector,data_mode,family,method,features,event_feature,overlap_model,val_auc_sampled,waveform_r@1,waveform_r@5,waveform_r@10,waveform_median_true_rank,rerank_r@1,rerank_r@5,rerank_r@10,rerank_r@50,rerank_r@100,rerank_r@500,rerank_median_true_rank,valid
LIGO,noisy,SIS,pair_level_predicted_sky_overlap_catalog_rerank,"log1p_delta_time_obs,pair_predicted_log_sky_overlap,waveform_score,waveform_reciprocal_rank",waveform_stats_plus_embedding_pca64,HistGradientBoostingRegressor,0.9740545857777777,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.08433333333333333,0.174,0.22033333333333333,0.4116666666666667,0.5213333333333333,0.821,85.0,3000
LIGO,noisy,PM,pair_level_predicted_sky_overlap_catalog_rerank,"log1p_delta_time_obs,pair_predicted_log_sky_overlap,waveform_score,waveform_reciprocal_rank",waveform_stats_plus_embedding_pca64,HistGradientBoostingRegressor,0.9994962326666667,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.275,0.7046666666666667,0.9493333333333334,0.9946666666666667,0.9946666666666667,0.9946666666666667,3.0,3000
