detector,data_mode,delta_time_only,delta_time_plus_predicted_sky_overlap,delta_time_plus_true_sky_overlap,delta_time_plus_true_sky_sep,waveform_only
ET,noisy,0.7883333333333333,0.7733333333333333,1.0,0.9993333333333333,0.6533333333333333
ET,pure,0.9936666666666667,0.9936666666666667,0.9993333333333333,0.9993333333333333,0.983
LIGO,noisy,0.24766666666666667,0.22933333333333333,0.999,0.9983333333333333,0.03866666666666667
LIGO,pure,0.994,0.994,0.9986666666666667,0.998,0.9883333333333333
