detector,data_mode,family,method,sigma_scale,features,val_auc,waveform_r@1,waveform_r@5,waveform_r@10,waveform_median_true_rank,r@1,r@5,r@10,r@50,r@100,r@500,median_rank,valid
ET,pure,SIS,time_only_trigger_time_uncertainty,1,log1p_delta_time_obs,0.9482240628888889,0.9416666666666667,0.9806666666666667,0.9873333333333333,1.0,0.21733333333333332,0.21733333333333332,0.224,0.4103333333333333,0.5513333333333333,0.842,82.0,3000
ET,pure,SIS,time_only_trigger_time_uncertainty,10,log1p_delta_time_obs,0.9485354028888888,0.9416666666666667,0.9806666666666667,0.9873333333333333,1.0,0.22133333333333333,0.22133333333333333,0.22633333333333333,0.4096666666666667,0.5483333333333333,0.8406666666666667,82.0,3000
ET,pure,SIS,time_only_trigger_time_uncertainty,100,log1p_delta_time_obs,0.9482491988888888,0.9416666666666667,0.9806666666666667,0.9873333333333333,1.0,0.21333333333333335,0.21333333333333335,0.22233333333333333,0.408,0.5306666666666666,0.8516666666666667,86.0,3000
ET,pure,SIS,time_only_trigger_time_uncertainty,1000,log1p_delta_time_obs,0.9486112664444444,0.9416666666666667,0.9806666666666667,0.9873333333333333,1.0,0.22,0.22,0.22633333333333333,0.41,0.5316666666666666,0.8433333333333334,87.0,3000
ET,pure,SIS,time_only_trigger_time_uncertainty,10000,log1p_delta_time_obs,0.9486871342222222,0.9416666666666667,0.9806666666666667,0.9873333333333333,1.0,0.222,0.222,0.227,0.4096666666666667,0.532,0.834,87.5,3000
ET,pure,SIS,time_only_trigger_time_uncertainty,randomized_time,log1p_delta_time_obs,0.5802533940000001,0.9416666666666667,0.9806666666666667,0.9873333333333333,1.0,0.004,0.004333333333333333,0.006,0.022,0.027666666666666666,0.133,2060.5,3000
