family,mode,method,features,neg_per_pos,train_examples,train_positive,val_auc_sampled,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,valid
SIS,realistic,catalog_level_extended_observable_hgb,"['log1p_delta_time', 'sky_sep', 'chirp_mass_logdiff', 'mass_ratio_absdiff', 'chi_eff_absdiff', 'luminosity_distance_logdiff']",500,1503000,3000,0.999897714888889,0.6806666666666666,0.9203333333333333,0.9743333333333334,0.9973333333333333,0.9993333333333333,1.0,1.0,3000
PM,realistic,catalog_level_extended_observable_hgb,"['log1p_delta_time', 'sky_sep', 'chirp_mass_logdiff', 'mass_ratio_absdiff', 'chi_eff_absdiff', 'luminosity_distance_logdiff']",500,1503000,3000,0.9999999940000001,0.9866666666666667,1.0,1.0,1.0,1.0,1.0,1.0,3000
