method,feature_dim,train_rows,candidate_recall,r@1,r@5,r@10,r@50,r@100,median_rank,valid
hgb_embedding_pair_trainval,16,1377000,0.5753333333333334,0.0016666666666666668,0.007666666666666666,0.011333333333333334,0.041,0.10933333333333334,267.0,3000
sgd_embedding_pair_trainval,16,1377000,0.5753333333333334,0.0,0.0003333333333333333,0.0003333333333333333,0.005666666666666667,0.06133333333333333,279.0,3000
extratrees_embedding_pair_trainval,16,1377000,0.5753333333333334,0.014666666666666666,0.02033333333333333,0.02266666666666667,0.052333333333333336,0.12433333333333334,273.0,3000
