detector,data_mode,family,method,features,sky_predictor,sky_sigma_rad,sky_val_mean_angular_error_rad,note,run_dir,train_examples,train_positive,val_auc_sampled,waveform_r@1,waveform_r@5,waveform_r@10,waveform_median_true_rank,rerank_r@1,rerank_r@5,rerank_r@10,rerank_r@50,rerank_r@100,rerank_r@500,rerank_median_true_rank,valid
ET,pure,SIS,waveform_predicted_skymap_overlap_catalog_rerank,"log1p_delta_time_obs,predicted_log_sky_map_overlap,waveform_score,waveform_reciprocal_rank",RidgeCV waveform_embedding_to_sky_unit_vector,1.5625288486480713,1.5711166858673096,"ra/dec are used only as supervised labels for training/evaluating the sky-map predictor. Time input uses trigger_time_obs-derived delta_time_obs, not true geocent_time or lens t_d; sky input uses waveform-predicted sky maps, not direct ra/dec or sky_sep.",runs/et10000_full_20260527_111510/SIS_pure_ep20_inceptiontime,1503000,3000,0.9999492127777779,0.9416666666666667,0.9806666666666667,0.9873333333333333,1.0,0.9143333333333333,0.984,0.989,0.9966666666666667,0.998,0.999,1.0,3000
ET,pure,PM,waveform_predicted_skymap_overlap_catalog_rerank,"log1p_delta_time_obs,predicted_log_sky_map_overlap,waveform_score,waveform_reciprocal_rank",RidgeCV waveform_embedding_to_sky_unit_vector,1.5592169761657715,1.570056438446045,"ra/dec are used only as supervised labels for training/evaluating the sky-map predictor. Time input uses trigger_time_obs-derived delta_time_obs, not true geocent_time or lens t_d; sky input uses waveform-predicted sky maps, not direct ra/dec or sky_sep.",runs/et10000_full_20260527_111510/PM_pure_ep20_inceptiontime,1503000,3000,0.9999992321111113,0.9356666666666666,0.974,0.98,1.0,0.991,0.999,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,1.0,3000
ET,noisy,SIS,waveform_predicted_skymap_overlap_catalog_rerank,"log1p_delta_time_obs,predicted_log_sky_map_overlap,waveform_score,waveform_reciprocal_rank",RidgeCV waveform_embedding_to_sky_unit_vector,1.5387144088745117,1.5505987405776978,"ra/dec are used only as supervised labels for training/evaluating the sky-map predictor. Time input uses trigger_time_obs-derived delta_time_obs, not true geocent_time or lens t_d; sky input uses waveform-predicted sky maps, not direct ra/dec or sky_sep.",runs/et10000_bandpass_full_ep50_20260528_101013/SIS_noisy_bandpass_n10000_ep50,1503000,3000,0.9984307263333334,0.407,0.5913333333333334,0.6576666666666666,3.0,0.5176666666666667,0.717,0.775,0.8783333333333333,0.9106666666666666,0.9746666666666667,1.0,3000
ET,noisy,PM,waveform_predicted_skymap_overlap_catalog_rerank,"log1p_delta_time_obs,predicted_log_sky_map_overlap,waveform_score,waveform_reciprocal_rank",RidgeCV waveform_embedding_to_sky_unit_vector,1.5686769485473633,1.57159423828125,"ra/dec are used only as supervised labels for training/evaluating the sky-map predictor. Time input uses trigger_time_obs-derived delta_time_obs, not true geocent_time or lens t_d; sky input uses waveform-predicted sky maps, not direct ra/dec or sky_sep.",runs/et10000_bandpass_full_ep50_20260528_101013/PM_noisy_bandpass_n10000_ep50,1503000,3000,0.999936489888889,0.304,0.463,0.5406666666666666,7.0,0.8536666666666667,0.9586666666666667,0.988,1.0,1.0,1.0,1.0,3000
LIGO,pure,SIS,waveform_predicted_skymap_overlap_catalog_rerank,"log1p_delta_time_obs,predicted_log_sky_map_overlap,waveform_score,waveform_reciprocal_rank",RidgeCV waveform_embedding_to_sky_unit_vector,1.5232148170471191,1.5358487367630005,"ra/dec are used only as supervised labels for training/evaluating the sky-map predictor. Time input uses trigger_time_obs-derived delta_time_obs, not true geocent_time or lens t_d; sky input uses waveform-predicted sky maps, not direct ra/dec or sky_sep.",runs/ligo_pure_inceptiontime_bandpass_full_ep50_20260601_103901/SIS_pure_inceptiontime_bandpass_n10000_ep50,1503000,3000,0.999954620888889,0.9543333333333334,0.9833333333333333,0.9886666666666667,1.0,0.8623333333333333,0.9903333333333333,0.995,0.9973333333333333,0.998,1.0,1.0,3000
LIGO,pure,PM,waveform_predicted_skymap_overlap_catalog_rerank,"log1p_delta_time_obs,predicted_log_sky_map_overlap,waveform_score,waveform_reciprocal_rank",RidgeCV waveform_embedding_to_sky_unit_vector,1.53810715675354,1.5250962972640991,"ra/dec are used only as supervised labels for training/evaluating the sky-map predictor. Time input uses trigger_time_obs-derived delta_time_obs, not true geocent_time or lens t_d; sky input uses waveform-predicted sky maps, not direct ra/dec or sky_sep.",runs/ligo_pure_inceptiontime_bandpass_full_ep50_20260601_103901/PM_pure_inceptiontime_bandpass_n10000_ep50,1503000,3000,0.9996658036666666,0.9546666666666667,0.9843333333333333,0.9883333333333333,1.0,0.9966666666666667,0.997,0.997,0.997,0.997,0.997,1.0,3000
LIGO,noisy,SIS,waveform_predicted_skymap_overlap_catalog_rerank,"log1p_delta_time_obs,predicted_log_sky_map_overlap,waveform_score,waveform_reciprocal_rank",RidgeCV waveform_embedding_to_sky_unit_vector,1.5356411933898926,1.5497928857803345,"ra/dec are used only as supervised labels for training/evaluating the sky-map predictor. Time input uses trigger_time_obs-derived delta_time_obs, not true geocent_time or lens t_d; sky input uses waveform-predicted sky maps, not direct ra/dec or sky_sep.",runs/ligo_inceptiontime_bandpass_full_ep50_20260601_095620/SIS_noisy_inceptiontime_bandpass_n10000_ep50,1503000,3000,0.9677613315555555,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.08833333333333333,0.16733333333333333,0.222,0.41233333333333333,0.5316666666666666,0.8386666666666667,83.0,3000
LIGO,noisy,PM,waveform_predicted_skymap_overlap_catalog_rerank,"log1p_delta_time_obs,predicted_log_sky_map_overlap,waveform_score,waveform_reciprocal_rank",RidgeCV waveform_embedding_to_sky_unit_vector,1.522367238998413,1.5335662364959717,"ra/dec are used only as supervised labels for training/evaluating the sky-map predictor. Time input uses trigger_time_obs-derived delta_time_obs, not true geocent_time or lens t_d; sky input uses waveform-predicted sky maps, not direct ra/dec or sky_sep.",runs/ligo_inceptiontime_bandpass_full_ep50_20260601_095620/PM_noisy_inceptiontime_bandpass_n10000_ep50,1503000,3000,0.9995612813333334,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.25366666666666665,0.6993333333333334,0.9316666666666666,1.0,1.0,1.0,3.0,3000
