detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,liao_delay_count,liao_delay_median_days,liao_delay_p90_days,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_liao_time,lambda_observed_sky,val_selected_r@10
LIGO,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,LIGO H1+L1 network A90 approximation,100.0,399.35166964003207,500.0,6000,0.5116666666666667,0.7645,0.8465,0.9618333333333333,0.9785,0.995,1.0,90,0.977,450,0.9938333333333333,900,0.999,4.0,2.0,0.8626666666666667
LIGO,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,LIGO H1+L1 network A90 approximation,100.0,399.35166964003207,500.0,3000,0.29633333333333334,0.5813333333333334,0.712,0.9243333333333333,0.957,0.99,4.0,90,0.954,450,0.9876666666666667,900,0.998,4.0,2.0,0.8626666666666667
LIGO,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,LIGO H1+L1 network A90 approximation,100.0,399.35166964003207,500.0,3000,0.727,0.9476666666666667,0.981,0.9993333333333333,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,4.0,2.0,0.8626666666666667
LIGO,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,LIGO H1+L1 network A90 approximation,100.0,399.35166964003207,500.0,6000,0.5116666666666667,0.7645,0.8465,0.9618333333333333,0.9784999999999999,0.995,2.5,90,0.977,450,0.9938333333333333,900,0.999,4.0,2.0,0.8626666666666667
LIGO,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,LIGO H1+L1 network A90 approximation,100.0,399.35166964003207,500.0,6000,0.36533333333333334,0.5953333333333334,0.6666666666666666,0.7925,0.8465,0.9578333333333333,3.0,90,0.8366666666666667,450,0.9518333333333333,900,0.9835,2.0,4.0,0.6726666666666666
LIGO,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_log_overlap_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,LIGO H1+L1 network A90 approximation,100.0,399.35166964003207,500.0,3000,0.12333333333333334,0.2836666666666667,0.36933333333333335,0.5853333333333334,0.693,0.9156666666666666,28.0,90,0.6733333333333333,450,0.9036666666666666,900,0.967,2.0,4.0,0.6726666666666666
LIGO,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_log_overlap_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,LIGO H1+L1 network A90 approximation,100.0,399.35166964003207,500.0,3000,0.6073333333333333,0.907,0.964,0.9996666666666667,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,2.0,4.0,0.6726666666666666
LIGO,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_log_overlap_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,LIGO H1+L1 network A90 approximation,100.0,399.35166964003207,500.0,6000,0.3653333333333333,0.5953333333333334,0.6666666666666666,0.7925,0.8465,0.9578333333333333,14.5,90,0.8366666666666667,450,0.9518333333333333,900,0.9835,2.0,4.0,0.6726666666666666
