model,split,n,n_pix,sky_mean_error_rad,sky_median_error_rad,sky_err_lt_0p5_rad,sky_err_lt_1p0_rad,sky_err_lt_1p5_rad,true_pixel_rank_median,true_pixel_rank_mean,true_pixel_top1,true_pixel_top5,true_pixel_top10,true_pixel_top50,true_pixel_prob_mean,true_pixel_prob_median,top1_pixel_sep_mean_rad,top1_pixel_sep_median_rad,entropy_mean,entropy_norm_mean,pair_pos_overlap_mean,pair_pos_overlap_median,pair_neg_overlap_mean,pair_neg_overlap_median,pair_overlap_ratio_mean,pair_overlap_auc_sampled
51_resnet_grid18,val,4500,648,1.3105688095092773,1.2503690719604492,0.09022222222222222,0.35977777777777775,0.6284444444444445,182.0,200.89844444444444,0.003777777777777778,0.01711111111111111,0.033555555555555554,0.1491111111111111,0.0021267682313919067,0.0021823416464030743,1.4126126766204834,1.3708336353302002,6.286166667938232,0.9710028768475751,0.001862801262177527,0.00177885708399117,0.0016732043586671352,0.0017371238209307194,1.1133136749267578,0.61925
51_resnet_grid18,test,4500,648,1.3200198411941528,1.2731688022613525,0.09466666666666666,0.3431111111111111,0.6211111111111111,183.0,205.27355555555556,0.0024444444444444444,0.012222222222222223,0.03088888888888889,0.13533333333333333,0.002108688000589609,0.0021716535557061434,1.4437658786773682,1.3994166851043701,6.2871994972229,0.9711624825679416,0.0018504438921809196,0.0017813832964748144,0.001672600512392819,0.001737285521812737,1.1063274145126343,0.61976
58_expected_angular,val,4500,648,1.308670163154602,1.2433676719665527,0.09577777777777778,0.36088888888888887,0.634,182.0,207.59688888888888,0.0026666666666666666,0.015111111111111112,0.03222222222222222,0.14,0.002206631237640977,0.0023180663120001554,1.4217621088027954,1.3757785558700562,6.211482524871826,0.9594667649934151,0.001913064275868237,0.0019252353813499212,0.0017062269616872072,0.001805691746994853,1.1212249994277954,0.60681
58_expected_angular,test,4500,648,1.3341683149337769,1.286710262298584,0.0971111111111111,0.33644444444444443,0.612,189.0,213.4322222222222,0.0033333333333333335,0.014444444444444444,0.03111111111111111,0.13755555555555554,0.0021763520780950785,0.002290656790137291,1.4230870008468628,1.3753726482391357,6.21343469619751,0.9597682007617,0.0019165099365636706,0.0019140536896884441,0.00170873012393713,0.001802627695724368,1.1215989589691162,0.606675
59_detector_interaction,val,4500,648,1.304574966430664,1.2447357177734375,0.098,0.3595555555555556,0.6315555555555555,185.0,203.40866666666668,0.0024444444444444444,0.015555555555555555,0.03111111111111111,0.14044444444444446,0.002113811671733856,0.0021989629603922367,1.4691888093948364,1.432400107383728,6.289015769958496,0.9714429848593766,0.001877933624200523,0.0018425433663651347,0.0017422516830265522,0.0017956915544345975,1.077877402305603,0.61165
59_detector_interaction,test,4500,648,1.3486610651016235,1.3019284009933472,0.09044444444444444,0.33311111111111114,0.6024444444444444,185.0,208.62777777777777,0.0022222222222222222,0.012222222222222223,0.026222222222222223,0.14244444444444446,0.0020929796155542135,0.0021816061343997717,1.4777454137802124,1.4470775127410889,6.290411472320557,0.971658605807248,0.0018685403047129512,0.001830647001042962,0.0017416264163330197,0.001795162446796894,1.0728708505630493,0.6012000000000001
