detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_sky_step,val_selected_r@10,lambda_sky_log_overlap
ET3,noisy,stage2_observed_sky,waveform_plus_observed_sky_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,6000,0.8963333333333333,0.9788333333333333,0.9908333333333333,0.9975,0.9986666666666666,0.9995,1.0,90,0.9986666666666666,450,0.9995,900,0.9995,0.25,0.994,
ET3,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,6000,0.8591666666666666,0.9361666666666667,0.9608333333333333,0.9866666666666667,0.991,0.998,1.0,90,0.9898333333333333,450,0.9976666666666667,900,0.999,,0.962,4.0
ET3,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,3000,0.894,0.957,0.9776666666666667,0.993,0.9946666666666667,0.998,1.0,90,0.9946666666666667,450,0.9976666666666667,900,0.9993333333333333,,0.962,4.0
ET3,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,3000,0.8243333333333334,0.9153333333333333,0.944,0.9803333333333333,0.9873333333333333,0.998,1.0,90,0.985,450,0.9976666666666667,900,0.9986666666666667,,0.962,4.0
ET3,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,6000,0.8591666666666666,0.9361666666666666,0.9608333333333333,0.9866666666666666,0.991,0.998,1.0,90,0.9898333333333333,450,0.9976666666666667,900,0.999,,0.962,4.0
ET3,noisy,stage2_observed_sky,a90_50_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,20.0,20.0,6000,0.8835,0.9838333333333333,0.9971666666666666,0.9991666666666666,0.9993333333333333,0.9998333333333334,1.0,90,0.9993333333333333,450,0.9998333333333334,900,1.0,0.25,0.9935,
ET3,noisy,stage2_observed_sky,a90_50_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,20.0,20.0,3000,0.896,0.9893333333333333,0.999,0.9996666666666667,0.9996666666666667,1.0,1.0,90,0.9996666666666667,450,1.0,900,1.0,0.25,0.9935,
ET3,noisy,stage2_observed_sky,a90_50_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,20.0,20.0,3000,0.871,0.9783333333333334,0.9953333333333333,0.9986666666666667,0.999,0.9996666666666667,1.0,90,0.999,450,0.9996666666666667,900,1.0,0.25,0.9935,
ET3,noisy,stage2_observed_sky,a90_50_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,20.0,20.0,6000,0.8835,0.9838333333333333,0.9971666666666666,0.9991666666666668,0.9993333333333334,0.9998333333333334,1.0,90,0.9993333333333334,450,0.9998333333333334,900,1.0,0.25,0.9935,
ET3,noisy,stage2_observed_sky,a90_50_gaussian_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,20.0,20.0,6000,0.8593333333333333,0.938,0.9625,0.987,0.9911666666666666,0.998,1.0,90,0.9905,450,0.9978333333333333,900,0.9993333333333333,,0.9631666666666666,4.0
