method,feature_dim,candidate_recall,r@1,r@5,r@10,r@50,median_rank,valid
hgb_pair_waveform_top100,26,0.5753333333333334,0.07933333333333334,0.15866666666666668,0.20633333333333334,0.3963333333333333,91.0,3000
logreg_pair_waveform_top100,26,0.5753333333333334,0.035666666666666666,0.12033333333333333,0.17866666666666667,0.38133333333333336,93.0,3000
