epoch,loss,epoch_s,batches,batch_pairs,pairs_per_s
1,4.376215219497681,1.3339155968278646,5,640,479.7904766403214
2,3.4478328227996826,0.33882540464401245,5,640,1888.8784348163538
3,3.1890706539154055,0.339579239487648,5,640,1884.685297504118
4,2.817582035064697,0.3487181756645441,5,640,1835.2929232334016
5,2.696585464477539,0.35501206293702126,5,640,1802.755643583681
6,2.3608744621276854,0.3513736091554165,5,640,1821.4230759627733
7,2.1796224117279053,0.3218174409121275,5,640,1988.7051434690654
8,1.9703360557556153,0.35445844754576683,5,640,1805.5713001941215
9,1.8433581829071044,0.3396633341908455,5,640,1884.2186823744871
10,1.679707980155945,0.3512631542980671,5,640,1821.9958232707863
11,1.5664560317993164,0.3528016433119774,5,640,1814.050507225266
12,1.4867801427841187,0.35154137574136257,5,640,1820.5538356624722
13,1.4203038454055785,0.3486845027655363,5,640,1835.4701597689048
14,1.2668355464935304,0.3438714034855366,5,640,1861.1608686062746
15,1.1888251304626465,0.34722003526985645,5,640,1843.2116093260502
16,1.06532164812088,0.3528369441628456,5,640,1813.8690139675946
17,0.9983606815338135,0.31547449715435505,5,640,2028.6901342990695
18,0.9771622061729431,0.347332663834095,5,640,1842.61391639716
19,0.8989874243736267,0.33414714969694614,5,640,1915.3238343659261
20,0.7890983343124389,0.33135668747127056,5,640,1931.4533981013724
21,0.7798038840293884,0.3377582896500826,5,640,1894.8461654724733
22,0.7471430420875549,0.33387179113924503,5,640,1916.9034850658609
23,0.6965464353561401,0.3421757407486439,5,640,1870.3839103255787
24,0.5928694605827332,0.3352338671684265,5,640,1909.1149871157093
25,0.5437930524349213,0.338151341304183,5,640,1892.6436829487243
26,0.5600616574287415,0.3497507572174072,5,640,1829.8745229082435
27,0.475309157371521,0.3150901831686497,5,640,2031.1645179292836
28,0.4695038616657257,0.34981251135468483,5,640,1829.551486084744
29,0.4831535220146179,0.351155299693346,5,640,1822.5554350422558
30,0.42354814410209657,0.3528676312416792,5,640,1813.7112711300622
31,0.425703352689743,0.35937164910137653,5,640,1780.886170626832
32,0.3958553075790405,0.3216597530990839,5,640,1989.6800698061058
33,0.34813809394836426,0.3272588234394789,5,640,1955.6386387802236
34,0.3317245543003082,0.344558784738183,5,640,1857.4479257184269
35,0.3178326189517975,0.35249377973377705,5,640,1815.6348758362876
36,0.31889219880104064,0.3494770620018244,5,640,1831.3076009453775
37,0.30140714049339296,0.320087356492877,5,640,1999.454170924874
38,0.2994445562362671,0.3509268704801798,5,640,1823.7417930529973
39,0.30063737034797666,0.3443498555570841,5,640,1858.5749047712463
40,0.2592345982789993,0.33304370753467083,5,640,1921.6696953608532
41,0.26802971959114075,0.3576781861484051,5,640,1789.3179533583748
42,0.24422520101070405,0.3551527261734009,5,640,1802.041636835203
43,0.265545254945755,0.35059246607124805,5,640,1825.4813264296959
44,0.23380634784698487,0.35644024424254894,5,640,1795.5323797963047
45,0.21865243911743165,0.3438254240900278,5,640,1861.4097596006204
46,0.214656326174736,0.34490651078522205,5,640,1855.575293556974
47,0.19921863675117493,0.3574434407055378,5,640,1790.493060207622
48,0.17575977742671967,0.3501355443149805,5,640,1827.8635528195864
49,0.17951309382915498,0.3536540288478136,5,640,1809.6782386025309
50,0.1803431123495102,0.3496420681476593,5,640,1830.443354229669
