detector,data_mode,family,sub_waveform_r@1_mean,sub_waveform_r@1_std,sub_waveform_r@5_mean,sub_waveform_r@5_std,sub_waveform_r@10_mean,sub_waveform_r@10_std,sub_waveform_r@50_mean,sub_waveform_r@50_std,rerank_r@1_mean,rerank_r@1_std,rerank_r@5_mean,rerank_r@5_std,rerank_r@10_mean,rerank_r@10_std,rerank_r@50_mean,rerank_r@50_std,rerank_median_rank_mean,rerank_median_rank_std,test_lensed_event_fraction_mean,test_lensed_event_fraction_std,test_catalog_size_mean,test_catalog_size_std,test_pair_count_mean,test_pair_count_std,test_unlensed_count_mean,test_unlensed_count_std
ET,noisy,PM,0.3686746987951807,0.050064070818465596,0.5367469879518072,0.06371824825782477,0.6210843373493976,0.061725352921136206,0.7698795180722892,0.039838061904055394,0.9939759036144578,0.007513368246534019,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09963985594237695,0.0,1666.0,0.0,83.0,0.0,1500.0,0.0
ET,noisy,SIS,0.5060240963855421,0.05150905758385806,0.6638554216867469,0.05468340105016972,0.7283132530120482,0.05011639490081291,0.844578313253012,0.02691062741807383,0.8644578313253012,0.0352694137956833,0.9481927710843374,0.025431550520461962,0.9638554216867469,0.015811260791188383,0.9759036144578314,0.012048192771084374,1.0,0.0,0.09963985594237695,0.0,1666.0,0.0,83.0,0.0,1500.0,0.0
ET,pure,PM,0.9475903614457831,0.022006053321763034,0.9825301204819278,0.01116220249774081,0.9879518072289157,0.00851935880947646,0.9975903614457831,0.004212083727590976,0.9993975903614458,0.0019049865422701,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09963985594237695,0.0,1666.0,0.0,83.0,0.0,1500.0,0.0
ET,pure,SIS,0.9493975903614459,0.02621231947322202,0.9855421686746988,0.01142991925362064,0.9885542168674698,0.010414700787060178,0.993975903614458,0.008519358809476458,0.9837349397590363,0.015567106380172127,0.9927710843373493,0.008889937197260505,0.9939759036144578,0.008519358809476485,0.9951807228915662,0.008424167455181954,1.0,0.0,0.09963985594237695,0.0,1666.0,0.0,83.0,0.0,1500.0,0.0
LIGO,noisy,PM,0.020481927710843374,0.010317455886478016,0.06204819277108433,0.018847710891979622,0.08855421686746988,0.02307926990071423,0.1602409638554217,0.04382849254862104,0.9746987951807229,0.01921845158876368,0.9987951807228915,0.0025399820563601345,0.9987951807228915,0.0025399820563601345,0.9987951807228915,0.0025399820563601345,1.0,0.0,0.09963985594237695,0.0,1666.0,0.0,83.0,0.0,1500.0,0.0
LIGO,noisy,SIS,0.04397590361445783,0.015567106380172134,0.08855421686746988,0.027540070965451708,0.10963855421686748,0.03134074379940028,0.186144578313253,0.03483226783414536,0.49939759036144576,0.05878083196650153,0.8379518072289157,0.023322582181903022,0.9289156626506024,0.022324404995481596,0.9668674698795181,0.01686029681099063,1.75,0.42491829279939874,0.09963985594237695,0.0,1666.0,0.0,83.0,0.0,1500.0,0.0
LIGO,pure,PM,0.9686746987951806,0.016509883366340915,0.9879518072289157,0.012048192771084347,0.9921686746987952,0.0085429909181456,0.9975903614457831,0.0050799641127203315,0.9993975903614458,0.001904986542270094,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09963985594237695,0.0,1666.0,0.0,83.0,0.0,1500.0,0.0
LIGO,pure,SIS,0.9638554216867469,0.01502673649306807,0.9879518072289157,0.013319778274519684,0.9927710843373493,0.008424167455181953,0.9987951807228915,0.0038099730845402324,0.9879518072289157,0.007513368246534025,0.9975903614457831,0.004212083727590967,0.9975903614457831,0.004212083727590967,0.9981927710843375,0.004065955166931053,1.0,0.0,0.09963985594237695,0.0,1666.0,0.0,83.0,0.0,1500.0,0.0
