epoch,loss,epoch_s,batches,batch_pairs,pairs_per_s
1,3.475860236981593,6.371981956064701,109,13952,2189.5856102857947
2,1.385649812877725,6.001170818693936,109,13952,2324.8796645712614
3,0.829345602507985,6.026478247717023,109,13952,2315.1166280713546
4,0.6565009612555898,6.116552446037531,109,13952,2281.0235215163543
5,0.5745585607279331,6.04686438664794,109,13952,2307.3115432863624
6,0.5340739116756195,6.108721673488617,109,13952,2283.947566403395
7,0.49714297931128687,6.050882140174508,109,13952,2305.7795007055984
8,0.4824658126459209,6.091386160813272,109,13952,2290.447466580783
9,0.4525128963890426,6.063150888308883,109,13952,2301.1137702184833
10,0.43866439505454596,6.056209699250758,109,13952,2303.751140210034
11,0.4229670456790049,6.084425677545369,109,13952,2293.0677009483393
12,0.40842494450577904,6.08883410692215,109,13952,2291.4074771947776
13,0.3972912966658216,6.077160471118987,109,13952,2295.809048700506
14,0.3813471370333925,6.128016823902726,109,13952,2276.7561514484296
15,0.36896877018136714,6.10672836471349,109,13952,2284.6930740556345
16,0.3566938649623766,6.109923463314772,109,13952,2283.498325923501
17,0.34015435964689344,6.118422056548297,109,13952,2280.326507562149
18,0.33701161206315416,6.1521927854046226,109,13952,2267.8092977026877
19,0.3192748693971459,6.124185597524047,109,13952,2278.1804662550835
20,0.30954488414690035,6.094783934764564,109,13952,2289.1705677075743
21,0.30018978285680126,6.077899360097945,109,13952,2295.529947665202
22,0.2860549952185482,6.12826525233686,109,13952,2276.663856003908
23,0.28349222447894035,6.115891521796584,109,13952,2281.2700242108785
24,0.2653385463657729,6.086229370906949,109,13952,2292.3881355330714
25,0.2546111214051553,6.075204168446362,109,13952,2296.5483320650283
26,0.23998908479826167,6.151511170901358,109,13952,2268.060580950821
27,0.23170246402604863,6.099820236675441,109,13952,2287.2805195328506
28,0.22012490061444973,6.118850946426392,109,13952,2280.1666721671695
29,0.21673341423546502,6.146936364471912,109,13952,2269.7485662353406
30,0.20226921154818403,6.11978174187243,109,13952,2279.8198675188696
31,0.2038270974651389,6.1299786465242505,109,13952,2276.0275042574417
32,0.18545672249629958,6.130993216298521,109,13952,2275.6508623937566
33,0.1768566147860037,6.111289597116411,109,13952,2282.987866682541
34,0.1762836802443233,6.1376722157001495,109,13952,2273.174504873496
35,0.1605317825024281,6.127265013754368,109,13952,2277.035507470432
36,0.15647760430060395,6.11893998645246,109,13952,2280.1334922209076
37,0.16103096237970055,6.1307657007128,109,13952,2275.735312862773
38,0.14852128020667155,6.149071869440377,109,13952,2268.960307544716
39,0.14243036754634403,6.099766109138727,109,13952,2287.300816189818
40,0.14167772882848706,6.131292687729001,109,13952,2275.539712518234
41,0.1303585939997927,6.125871156342328,109,13952,2277.5536154649626
42,0.12647685340238274,6.134147090837359,109,13952,2274.4808354596275
43,0.121177888107956,6.140712486580014,109,13952,2272.0490546481155
44,0.11922928253445056,6.118269867263734,109,13952,2280.3832296857695
45,0.11472639352630037,6.109686714597046,109,13952,2283.586810869758
46,0.11256525504889839,6.145117135718465,109,13952,2270.420513045075
47,0.10502513450220091,6.105541697703302,109,13952,2285.137124728551
48,0.10183253180269801,6.152455528266728,109,13952,2267.712450077727
49,0.09732937341162917,6.172108299098909,109,13952,2260.491767786529
50,0.09904541697250593,6.08874795679003,109,13952,2291.4398984837358
