detector,data_mode,family,method,features,sky_model,sky_best_epoch,sky_val_kl,sky_val_mean_error_rad,sky_val_median_error_rad,sky_val_frac_err_lt_1p0,val_auc_sampled,waveform_r@1,waveform_r@5,waveform_r@10,waveform_median_true_rank,r@1,r@5,r@10,r@50,r@100,r@500,median_rank,valid
LIGO,noisy,SIS,ligo_grid_skymap_predictor_rerank,"log1p_delta_time_obs,predicted_grid_skymap_overlap,waveform_score,waveform_reciprocal_rank",SkyMapCNN_grid_12x24,3,1.7362289428710938,1.3176547288894653,1.2577002048492432,0.354,0.9754051788888889,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.09333333333333334,0.182,0.23233333333333334,0.424,0.5436666666666666,0.8266666666666667,81.0,3000
LIGO,noisy,PM,ligo_grid_skymap_predictor_rerank,"log1p_delta_time_obs,predicted_grid_skymap_overlap,waveform_score,waveform_reciprocal_rank",SkyMapCNN_grid_12x24,3,1.7520067691802979,1.3319226503372192,1.2890294790267944,0.342,0.9995003356666667,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.2856666666666667,0.723,0.9446666666666667,1.0,1.0,1.0,3.0,3000
