detector,data_mode,catalog,candidate_kind,subset,variant,stage,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,train_s,mean_epoch_s,sky_sigma_rad,sky_val_mean_angular_error_rad,sky_val_median_angular_error_rad,val_hard_candidate_kind,val_hard_n_queries,val_hard_target_negatives_per_query,val_hard_shortage_queries,val_hard_mean_used_eps,val_hard_p_dt_pos_lt_dt_neg,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,val_auc_hard_sampled,train_examples,train_positive
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,true_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,true_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,predicted_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.0003333333333333333,0.001,0.0015,0.007666666666666666,0.014666666666666666,0.07633333333333334,4184.5,90,0.013666666666666667,450,0.06916666666666667,900,0.12466666666666666,,,
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,predicted_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.0006666666666666666,0.0013333333333333333,0.002,0.01,0.01633333333333333,0.08133333333333333,4120.5,90,0.015333333333333332,450,0.07533333333333334,900,0.13033333333333333,,,
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,predicted_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.0,0.0006666666666666666,0.001,0.005333333333333333,0.013,0.07133333333333333,4283.5,90,0.012,450,0.063,900,0.119,,,
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,predicted_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.0003333333333333333,0.001,0.0015,0.007666666666666667,0.014666666666666665,0.07633333333333334,4202.0,90,0.013666666666666667,450,0.06916666666666667,900,0.12466666666666666,,,
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,waveform_plus_time,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.05683333333333333,0.09316666666666666,0.13733333333333334,0.334,0.45216666666666666,0.6421666666666667,138.0,90,0.43516666666666665,450,0.6306666666666667,900,0.6981666666666667,0.8057205534027778,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,waveform_plus_time,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.022333333333333334,0.042,0.07266666666666667,0.17533333333333334,0.22466666666666665,0.41333333333333333,942.5,90,0.21566666666666667,450,0.39766666666666667,900,0.49,0.8057205534027778,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,waveform_plus_time,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.09133333333333334,0.14433333333333334,0.202,0.49266666666666664,0.6796666666666666,0.871,52.0,90,0.6546666666666666,450,0.8636666666666667,900,0.9063333333333333,0.8057205534027778,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,waveform_plus_time,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.05683333333333333,0.09316666666666668,0.13733333333333334,0.33399999999999996,0.45216666666666666,0.6421666666666667,497.25,90,0.43516666666666665,450,0.6306666666666667,900,0.6981666666666666,0.8057205534027778,1206000.0,6000.0
