event_name,catalog,gps_trigger_time,ra_median,dec_median,sky_area_90_deg2,network_snr,chirp_mass_median,mass_ratio_median,luminosity_distance_median,p_astro,far_hz,pipeline,source_path,skymap_file
GW240908_125134,GWTC-5.0-search,1409835112.2826087,4.718524903536232,-0.0651502458482014,2434.7908647575955,8.411996377598369,57.51856288292748,0.9590674652601759,,0.9660932293650945,9.197298828274649e-09,gstlal,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240908_125134-gstlal_Skymap_SearchResultDataRelease.fits
GW240910_103535,GWTC-5.0-search,1409999753.4980917,4.310486013958651,-0.355070267017646,432.8656975176593,17.81883311932785,8.238957237613196,0.523193226085702,,0.9998750182974377,3.548959270935313e-42,gstlal,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240910_103535-gstlal_Skymap_SearchResultDataRelease.fits
GW240915_001357,GWTC-5.0-search,1410394455.7210612,1.9597819420000158,-0.8827372180161119,863.8429843335937,14.95986315649805,9.676401228625469,0.6056058141682928,,0.9999419078808575,5.306349269610347e-30,gstlal,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240915_001357-gstlal_Skymap_SearchResultDataRelease.fits
GW240915_105151,GWTC-5.0-search,1410432729.059079,0.052155346788111796,0.29052820388964573,6907.3867000879045,13.77168328699969,9.107368291496954,0.46154030898633813,,0.9999163866471275,2.225057016565765e-14,gstlal,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240915_105151-gstlal_Skymap_SearchResultDataRelease.fits
GW240916_184352,GWTC-5.0-search,1410547450.3135471,3.583379120500858,0.23255937338378185,1145.635825713243,9.792401,9.772324,0.7082458984151258,,0.990974981,8.934496e-10,MBTA,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240916_184352-mbta_Skymap_SearchResultDataRelease.fits
GW240919_061559,GWTC-5.0-search,1410761777.1947792,0.9280583766708129,0.638546102821751,25.008327834651492,16.51062468112001,37.857165273362,0.8821602704064736,,1.0,7.612484061910621e-35,gstlal,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240919_061559-gstlal_Skymap_SearchResultDataRelease.fits
GW240920_073424,GWTC-5.0-search,1410852882.4691916,0.269476789200884,1.0200631339646904,610.1664800685184,13.130704,18.565806,0.5001872561544168,,1.0,1.925486e-20,MBTA,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240920_073424-mbta_Skymap_SearchResultDataRelease.fits
GW240920_124024,GWTC-5.0-search,1410871242.87651,1.8461458782203692,0.4615232462470016,196.91927150767003,36.58555701936487,36.3202531359223,0.9590674686708534,,1.0,7.298573544865708e-53,gstlal,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240920_124024-gstlal_Skymap_SearchResultDataRelease.fits
GW240921_201835,GWTC-5.0-search,1410985133.7871065,2.3776702212227434,-0.1872909602004773,3545.176357371969,11.338536,18.257319,0.15208226155806495,,0.999999888,3.943284e-15,MBTA,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240921_201835-mbta_Skymap_SearchResultDataRelease.fits
GW240922_142106,GWTC-5.0-search,1411050084.3903136,5.405748296509,-0.3391464597063947,364.67308884425205,12.531701,10.057782,0.36127753828010406,,1.0,1.815691e-20,MBTA,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240922_142106-mbta_Skymap_SearchResultDataRelease.fits
GW240923_204006,GWTC-5.0-search,1411159224.1086295,4.2905442637161375,0.44126466658053287,1015.5453107055121,11.5465622131357,65.1791814374189,0.8821603563154775,,0.9999999847862778,7.632194719670137e-16,gstlal,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240923_204006-gstlal_Skymap_SearchResultDataRelease.fits
GW240924_000316,GWTC-5.0-search,1411171414.5448265,0.6275088418897138,-0.9417235081424788,1429.3170777946175,10.35325802447226,52.63207646576119,0.6314527326389343,,0.9999938755166342,6.200509983410572e-13,gstlal,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240924_000316-gstlal_Skymap_SearchResultDataRelease.fits
GW240925_005809,GWTC-5.0-search,1411261107.9795656,5.388107517448315,0.39037351301544043,97.81705155672023,30.6490391491389,7.410427797738633,0.3824114325539336,,0.9998785240552355,8.995043765410541e-48,gstlal,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240925_005809-gstlal_Skymap_SearchResultDataRelease.fits
GW240930_035959,GWTC-5.0-search,1411704017.9633203,5.881023597006195,0.7541187405338062,490.35731221462424,15.26380084976027,17.28865245928784,0.5123735325588215,,0.9999999999999702,7.046387779271903e-22,gstlal,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240930_035959-gstlal_Skymap_SearchResultDataRelease.fits
GW240930_234614,GWTC-5.0-search,1411775192.9162,2.024854640009046,-0.33983690945412204,639.5417576509091,11.25821122558997,42.014954,,,0.976,7.55557649e-09,CWB,SearchSummaryTable + Archived_SearchResults skymap,data/gwtc5_raw/selected_skymaps/IGWN-GWTC5p0-59d160a18_25-GW240930_234614-cwb_Skymap_SearchResultDataRelease.fits
