event_name,catalog,gps_trigger_time,ra_median,dec_median,sky_area_90_deg2,network_snr,chirp_mass_median,mass_ratio_median,luminosity_distance_median,p_astro,mass_1_source,mass_2_source,pe_h5_file,sky_area_source,skymap_stats_file
GW200129_065458,GWTC-3-confident,1264316116.4,5.582577542097314,0.09150580982941259,2840.9733034672663,26.8,27.1588200103413,0.8539091711937759,901.7753936248953,0.99,34.5,29.0,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_mixed_cosmo.h5,posterior_ra_dec_gaussian,
GW200202_154313,GWTC-3-confident,1264693411.5,2.5074212400798936,0.38089761,208.4435186227309,10.8,7.491012251800997,0.7247153410440879,413.6317840801113,0.99,10.1,7.3,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC3p0-v2-GW200202_154313_PEDataRelease_mixed_cosmo.h5,posterior_ra_dec_gaussian,
GW200208_130117,GWTC-3-confident,1265202095.9,2.4421730646951643,-0.5969535391857748,1054.6272780974748,10.8,27.680273610707427,0.7339635000535176,2229.084035844091,0.99,37.7,27.4,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_mixed_cosmo.h5,posterior_ra_dec_gaussian,
GW200209_085452,GWTC-3-confident,1265273710.1,2.4384349907656864,0.84786171,7051.5123399143895,9.6,26.738895835226398,0.7843559374578398,3418.8632,0.97236,35.6,27.1,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC3p0-v2-GW200209_085452_PEDataRelease_mixed_cosmo.h5,posterior_ra_dec_gaussian,
GW200219_094415,GWTC-3-confident,1266140673.1,0.5223477925366538,-0.4589239606428892,13612.396780108027,10.7,27.617624850775005,0.7662898787555023,3417.6592,0.99,37.5,27.9,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_mixed_cosmo.h5,posterior_ra_dec_gaussian,
GW200224_222234,GWTC-3-confident,1266618172.4,3.0474174754646115,-0.16593353,376.3329040216076,20.0,31.07648617758715,0.8215921237209606,1707.4721999999997,0.99,40.0,32.7,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_mixed_cosmo.h5,posterior_ra_dec_gaussian,
GW200225_060421,GWTC-3-confident,1266645879.3,1.8924887341600538,0.93888228,9030.161235566093,12.5,14.20504269884179,0.7277753236833979,1148.9576,0.99,19.3,14.0,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_mixed_cosmo.h5,posterior_ra_dec_gaussian,
GW200302_015811,GWTC-3-confident,1267149509.5,3.867180569574105,-0.479679374780289,47143.26306707359,10.8,23.36183339206489,0.530633273448978,1483.2572,0.90643,37.8,20.0,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_mixed_cosmo.h5,posterior_ra_dec_gaussian,
GW200311_115853,GWTC-3-confident,1267963151.3,0.038388267362505724,-0.13337405000461972,35.979662643737505,17.8,26.59657852188376,0.8193166800086578,1172.1160879780994,0.99,34.2,27.7,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC3p0-v2-GW200311_115853_PEDataRelease_mixed_cosmo.h5,posterior_ra_dec_gaussian,
GW200316_215756,GWTC-3-confident,1268431094.1,1.6024908605606554,0.8189653138382175,9021.143535602398,10.3,8.754131742143482,0.5948232378276693,1123.5334062986356,0.99,13.1,7.8,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC3p0-v2-GW200316_215756_PEDataRelease_mixed_cosmo.h5,posterior_ra_dec_gaussian,
