epoch,train_loss
1,1.3620408793117689
2,1.3594849903687187
3,1.3582421259258104
4,1.3574382605759994
5,1.3553831778401915
6,1.353837670761606
7,1.3497363537290823
8,1.310740342243858
9,1.183057887243188
10,1.0383594726479572
