split,feature,pos_mean,neg_mean,pos_median,neg_median,pos_q10,pos_q90,neg_q10,neg_q90,auc,n_pos,n_neg
train,trigger_time_obs,14.823585510253906,18.09576416015625,15.143827438354492,18.359453201293945,11.999921798706055,17.14900779724121,16.622892379760742,19.21710777282715,0.055317425,3000,60000
train,pred_sky_overlap,-6.190634727478027,-6.420592308044434,-6.118283271789551,-6.212191581726074,-6.577354431152344,-5.807166576385498,-7.050376892089844,-6.008123874664307,0.6379708555555555,3000,60000
train,waveform_score,0.728691577911377,0.1920417696237564,0.7527592182159424,0.19150389730930328,0.5401315689086914,0.8898229598999023,-0.15762755274772644,0.5473011136054993,0.9608597777777778,3000,60000
train,waveform_recip_rank,0.040101129561662674,0.00047159058158285916,0.004149377811700106,9.529708768241107e-05,0.0004908698610961437,0.07692307978868484,5.2974519348936155e-05,0.0004770992381963879,0.9644939361111111,3000,60000
val,trigger_time_obs,14.757866859436035,18.090274810791016,14.948647499084473,18.355485916137695,12.026779174804688,17.096595764160156,16.62339210510254,19.206674575805664,0.05342608333333333,3000,60000
val,pred_sky_overlap,-6.206803798675537,-6.418656349182129,-6.129432678222656,-6.205388069152832,-6.640928745269775,-5.815250396728516,-7.060116291046143,-6.003714561462402,0.6154519555555555,3000,60000
val,waveform_score,0.36404287815093994,0.19380520284175873,0.3705035448074341,0.19426694512367249,-0.04547698423266411,0.8009191155433655,-0.15836429595947266,0.547547459602356,0.6561495333333334,3000,60000
val,waveform_recip_rank,0.022673657163977623,0.0020069461315870285,0.000788022531196475,0.00044702726881951094,0.0002729108673520386,0.01785714365541935,0.00024679172202013433,0.0022675737272948027,0.6473819083333334,3000,60000
test,trigger_time_obs,14.811241149902344,18.085636138916016,15.07509994506836,18.355194091796875,12.033204078674316,17.13058853149414,16.627317428588867,19.207914352416992,0.055272294444444446,3000,60000
test,pred_sky_overlap,-6.229639530181885,-6.414794921875,-6.125494003295898,-6.20720911026001,-6.649827003479004,-5.806837558746338,-7.033841133117676,-6.010674476623535,0.6166726666666666,3000,60000
test,waveform_score,0.37083810567855835,0.1955367773771286,0.3759572505950928,0.1980285942554474,-0.05438349395990372,0.805317223072052,-0.15612953901290894,0.5442929267883301,0.6617818499999999,3000,60000
test,waveform_recip_rank,0.022200943902134895,0.002010139636695385,0.0008470988250337541,0.00044208666076883674,0.00026642513694241643,0.021739130839705467,0.00024679172202013433,0.0021786491852253675,0.6569092416666666,3000,60000
