detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,liao_delay_count,liao_delay_median_days,liao_delay_p90_days,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_liao_time,lambda_observed_sky,val_selected_r@10
ET3,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET three-arm network-SNR A90 approximation,100.0,20.0,26.57572967089612,6000,0.9763333333333334,0.9966666666666667,0.998,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,90,0.9998333333333334,450,0.9998333333333334,900,1.0,1.0,0.25,0.9988333333333334
ET3,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET three-arm network-SNR A90 approximation,100.0,20.0,26.57572967089612,3000,0.9643333333333334,0.9933333333333333,0.996,0.9996666666666667,0.9996666666666667,0.9996666666666667,1.0,90,0.9996666666666667,450,0.9996666666666667,900,1.0,1.0,0.25,0.9988333333333334
ET3,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET three-arm network-SNR A90 approximation,100.0,20.0,26.57572967089612,3000,0.9883333333333333,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,1.0,0.25,0.9988333333333334
ET3,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET three-arm network-SNR A90 approximation,100.0,20.0,26.57572967089612,6000,0.9763333333333333,0.9966666666666666,0.998,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,90,0.9998333333333334,450,0.9998333333333334,900,1.0,1.0,0.25,0.9988333333333334
ET3,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET three-arm network-SNR A90 approximation,100.0,20.0,26.57572967089612,6000,0.9455,0.9853333333333333,0.9923333333333333,0.998,0.9986666666666667,1.0,1.0,90,0.9983333333333333,450,1.0,900,1.0,1.0,4.0,0.9913333333333333
ET3,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_log_overlap_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET three-arm network-SNR A90 approximation,100.0,20.0,26.57572967089612,3000,0.9103333333333333,0.9743333333333334,0.9863333333333333,0.996,0.9973333333333333,1.0,1.0,90,0.9966666666666667,450,1.0,900,1.0,1.0,4.0,0.9913333333333333
ET3,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_log_overlap_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET three-arm network-SNR A90 approximation,100.0,20.0,26.57572967089612,3000,0.9806666666666667,0.9963333333333333,0.9983333333333333,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,1.0,4.0,0.9913333333333333
ET3,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_log_overlap_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET three-arm network-SNR A90 approximation,100.0,20.0,26.57572967089612,6000,0.9455,0.9853333333333334,0.9923333333333333,0.998,0.9986666666666666,1.0,1.0,90,0.9983333333333333,450,1.0,900,1.0,1.0,4.0,0.9913333333333333
