event_a,event_b,real_pair_waveform_score,waveform_percentile_vs_sim_positive,waveform_percentile_vs_sim_negative,delta_t_days,liao_time_lr,time_lr_percentile_vs_sim_positive,time_lr_percentile_vs_sim_negative,event_a_partner_rank_among_sim_plus_event_b,event_b_partner_rank_among_sim_plus_event_a,sim_test_catalog_size,sim_positive_count,sim_negative_sample_count,encoder_dir,model_path,GW150914_version,GW151226_version,GW170817_version
GW150914,GW151226,1.0,100.0,100.0,102.74176157407187,1.3230351209640503,17.766666666666666,95.55399999999999,1,1,9000,6000,200000,runs/ligo_h1l1_fresh50_full_catalog_20260617/fresh_mixed_encoders/ligo_noisy_mixed_sis_pm_ep50,runs/ligo_h1l1_fresh50_full_catalog_20260617/fresh_mixed_encoders/ligo_noisy_mixed_sis_pm_ep50/model.pt,GW150914-v3,GW151226-v2,GW170817-v3
GW150914,GW170817,1.0,100.0,100.0,703.118287037037,-2.5282790660858154,0.4,57.668,1,1,9000,6000,200000,runs/ligo_h1l1_fresh50_full_catalog_20260617/fresh_mixed_encoders/ligo_noisy_mixed_sis_pm_ep50,runs/ligo_h1l1_fresh50_full_catalog_20260617/fresh_mixed_encoders/ligo_noisy_mixed_sis_pm_ep50/model.pt,GW150914-v3,GW151226-v2,GW170817-v3
