distribution,count,mean,std,p01,p05,p25,median,p75,p95,p99
sim_waveform_lensed_positive_pairs,6000,0.32709187269210815,0.32829609513282776,-0.39501893520355225,-0.20579589903354645,0.08823732286691666,0.3263668715953827,0.5756648778915405,0.8674025535583496,0.956976056098938
sim_waveform_random_non_pairs,200000,0.12919162213802338,0.28584328293800354,-0.48354989290237427,-0.33536314964294434,-0.0791010931134224,0.1250753402709961,0.33633697032928467,0.6052542924880981,0.749448299407959
sim_time_lr_lensed_positive_pairs,6000,3.5220930576324463,2.046513080596924,-1.9390509128570557,-0.5802348852157593,2.2704193592071533,4.097286224365234,4.839964389801025,5.978078842163086,6.7512688636779785
sim_time_lr_random_non_pairs,200000,-2.1308248043060303,1.546986699104309,-3.7528529167175293,-3.7528529167175293,-3.162043571472168,-2.76754093170166,-1.8753783702850342,1.3230351209640503,2.805074691772461
real_event_to_sim_catalog_scores_event_a,9000,-0.010151514783501625,0.1980447620153427,-0.4401775598526001,-0.3298496901988983,-0.15403735637664795,-0.010120708495378494,0.1301490217447281,0.31563800573349,0.4324093759059906
real_event_to_sim_catalog_scores_event_b,9000,-0.010151511058211327,0.1980447769165039,-0.4401776194572449,-0.3298497200012207,-0.15403734147548676,-0.01012071967124939,0.13014903664588928,0.31563800573349,0.4324094355106354
