detector,data_mode,family,variant,method,features,detloc_feature_count,val_auc_sampled,waveform_r@1,waveform_r@5,waveform_r@10,waveform_median_true_rank,r@1,r@5,r@10,r@50,r@100,r@500,median_rank,valid
LIGO,noisy,SIS,baseline,ligo_detector_localization_feature_rerank,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",17,0.9646469585555556,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.08933333333333333,0.17066666666666666,0.22333333333333333,0.4156666666666667,0.5413333333333333,0.8356666666666667,82.0,3000
LIGO,noisy,SIS,detloc,ligo_detector_localization_feature_rerank,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank,detector_localization_pair_features",17,0.9876009106666667,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.07066666666666667,0.153,0.21366666666666667,0.41233333333333333,0.5326666666666666,0.825,85.0,3000
LIGO,noisy,PM,baseline,ligo_detector_localization_feature_rerank,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",17,0.9994037776666667,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.269,0.6816666666666666,0.9313333333333333,1.0,1.0,1.0,3.0,3000
LIGO,noisy,PM,detloc,ligo_detector_localization_feature_rerank,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank,detector_localization_pair_features",17,0.9997468656666668,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.2653333333333333,0.7036666666666667,0.945,0.998,0.998,0.998,3.0,3000
