setting,model,mode,limit,r@1,r@5,r@10,mrr,f1,f2,cand_edges,compression,tier1_precision,tier1_recall,tier12_recall,cal_ece,run
full10000,PM,noisy,10000,0.5423333333333333,0.734,0.7833333333333333,0.6275301610020292,0.5082828282828282,0.45089605734767024,1250,8098.2,0.9533527696793003,0.218,0.416,0.043092355352640166,inceptiontime_pm_noisy_ep50_lr0p001_w2
full10000,SIS,noisy,10000,0.6686666666666666,0.829,0.8756666666666667,0.7390343071681656,0.6521913952553277,0.5803635322742234,1369,7394.265887509131,0.971830985915493,0.368,0.5346666666666666,0.04829651589789058,inceptiontime_sis_noisy_ep50_lr0p001_w2
