detector,data_mode,family,predictor,sky_predictor_input,sky_sigma_rad,sky_val_mean_error_rad,sky_val_median_error_rad,sky_val_frac_err_lt_0p5,sky_val_frac_err_lt_1p0,val_auc_sampled,waveform_r@1,waveform_r@5,waveform_r@10,waveform_median_true_rank,rerank_r@1,rerank_r@5,rerank_r@10,rerank_r@50,rerank_r@100,rerank_r@500,rerank_median_true_rank,valid
ET,noisy,SIS,waveform_stats_ridge,waveform_stats,1.1642462015151978,1.2237240076065063,1.1642462015151978,0.11666666666666667,0.40355555555555556,0.9985288224444444,0.407,0.5913333333333334,0.6576666666666666,3.0,0.5096666666666667,0.719,0.78,0.8746666666666667,0.9106666666666666,0.9763333333333334,1.0,3000
ET,noisy,SIS,fusion_stats_embedding_ridge,waveform_stats_plus_matching_embedding,1.1603357791900635,1.2257893085479736,1.1603357791900635,0.11711111111111111,0.4002222222222222,0.9977283065555554,0.407,0.5913333333333334,0.6576666666666666,3.0,0.5103333333333333,0.7213333333333334,0.7846666666666666,0.8806666666666667,0.915,0.9766666666666667,1.0,3000
ET,noisy,SIS,fusion_stats_embedding_mlp,waveform_stats_plus_matching_embedding,1.2653402090072632,1.3278017044067383,1.2653402090072632,0.1068888888888889,0.35244444444444445,0.9982802950000002,0.407,0.5913333333333334,0.6576666666666666,3.0,0.5106666666666667,0.7173333333333334,0.7693333333333333,0.874,0.9106666666666666,0.9723333333333334,1.0,3000
ET,noisy,PM,waveform_stats_ridge,waveform_stats,1.1882023811340332,1.2426912784576416,1.1882023811340332,0.12111111111111111,0.3877777777777778,0.9999447021111112,0.304,0.463,0.5406666666666666,7.0,0.8596666666666667,0.9636666666666667,0.9936666666666667,1.0,1.0,1.0,1.0,3000
ET,noisy,PM,fusion_stats_embedding_ridge,waveform_stats_plus_matching_embedding,1.1959459781646729,1.244060754776001,1.1959459781646729,0.12022222222222222,0.3913333333333333,0.9999364854444444,0.304,0.463,0.5406666666666666,7.0,0.861,0.962,0.992,1.0,1.0,1.0,1.0,3000
ET,noisy,PM,fusion_stats_embedding_mlp,waveform_stats_plus_matching_embedding,1.2722511291503906,1.3403631448745728,1.2722511291503906,0.10155555555555555,0.34644444444444444,0.9999365519999999,0.304,0.463,0.5406666666666666,7.0,0.8546666666666667,0.9636666666666667,0.994,0.9996666666666667,0.9996666666666667,0.9996666666666667,1.0,3000
