family,mode,method,features,neg_per_pos,train_examples,train_positive,val_auc_sampled,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,valid
SIS,realistic,et_catalog_level_delta_time_sky_sep_hgb,"['log1p_delta_time', 'sky_sep']",300,903000,3000,0.9992790411111112,0.41633333333333333,0.7383333333333333,0.845,0.9943333333333333,0.9993333333333333,0.9993333333333333,2.0,3000
PM,realistic,et_catalog_level_delta_time_sky_sep_hgb,"['log1p_delta_time', 'sky_sep']",300,903000,3000,0.999995345925926,0.9713333333333334,1.0,1.0,1.0,1.0,1.0,1.0,3000
