epoch,loss,epoch_s,batches,batch_pairs,pairs_per_s
1,3.675649621071072,6.431562772020698,109,13952,2169.3016914482355
2,1.9850667955678538,6.000364128500223,109,13952,2325.1922218739196
3,0.9405365876101572,6.036612608470023,109,13952,2311.2299736484383
4,0.7097976366314319,6.048572302795947,109,13952,2306.6600350549998
5,0.6101146091561799,6.055909384042025,109,13952,2303.865384241882
6,0.5635609593960124,6.062380088493228,109,13952,2301.4063447591743
7,0.5257495168699037,6.089546512812376,109,13952,2291.139409255691
8,0.4882483979977599,6.104254781268537,109,13952,2285.6188838665425
9,0.46826787415994414,6.09806131478399,109,13952,2287.940261632843
10,0.4487721518092199,6.090673742815852,109,13952,2290.715377171013
11,0.4339675482259978,6.0582231329753995,109,13952,2302.9854948818465
12,0.42154747603136467,6.0746942814439535,109,13952,2296.7410956989943
13,0.40668147857036063,6.1088584484532475,109,13952,2283.8964297057205
14,0.40073577171071956,6.096009238623083,109,13952,2288.7104421697636
15,0.37528641398893586,6.08843704406172,109,13952,2291.556913380242
16,0.37526083594068477,6.101487400941551,109,13952,2286.6555453096566
17,0.3629245155174798,6.0971719063818455,109,13952,2288.274008708298
18,0.346753731643388,6.115037919022143,109,13952,2281.5884684213156
19,0.3364118265176038,6.091038427315652,109,13952,2290.5782267653017
20,0.337181023364767,6.113791331648827,109,13952,2282.053678831935
21,0.32063322370752284,6.117063405923545,109,13952,2280.832987032533
22,0.31248506972002327,6.123724326491356,109,13952,2278.352070755923
23,0.30435534464109926,6.100358745083213,109,13952,2287.0786101301137
24,0.28645035542479347,6.075641756877303,109,13952,2296.382926825315
25,0.28149778307031054,6.074639311991632,109,13952,2296.7618789247417
26,0.2698377754983552,6.116965130902827,109,13952,2280.8696308427
27,0.26702177128113735,6.064513641409576,109,13952,2300.596688369743
28,0.25728809026949995,6.140838848426938,109,13952,2272.0023020265385
29,0.24526648975293572,6.102356853894889,109,13952,2286.3297466936892
30,0.2348417974666718,6.121135149151087,109,13952,2279.3157902966645
31,0.24229086197297509,6.097414894960821,109,13952,2288.1828185138856
32,0.22217465718404963,6.076775352470577,109,13952,2295.954546736316
33,0.2187757531710721,6.10768620390445,109,13952,2284.334776577246
34,0.2154403536691578,6.12234203889966,109,13952,2278.8664715811155
35,0.20473559610887404,6.11653729621321,109,13952,2281.0291712988947
36,0.19277979966697342,6.115822337567806,109,13952,2281.295830700758
37,0.19303107507731937,6.057432832196355,109,13952,2303.2859606535935
38,0.18482648437723107,6.0342208025977015,109,13952,2312.1460842125193
39,0.17158242082650507,6.070923098362982,109,13952,2298.1678031405377
40,0.15680243061223162,6.086245043203235,109,13952,2292.38223255253
41,0.1634370145994589,6.130773895420134,109,13952,2275.7322709980463
42,0.1532163224225744,6.110979017801583,109,13952,2283.1038953590146
43,0.15280556712948948,6.091834666207433,109,13952,2290.278834616836
44,0.1414512270087496,6.082025244832039,109,13952,2293.972720987168
45,0.12931413552083007,6.110928189009428,109,13952,2283.1228855041736
46,0.13216221223183727,6.110794255509973,109,13952,2283.1729259121726
47,0.12515905608824635,6.146992919035256,109,13952,2269.7276837256723
48,0.12483486027345744,6.122325733304024,109,13952,2278.8725408882406
49,0.12376821642621942,6.135715417563915,109,13952,2273.8994641214003
50,0.11177951271790977,6.122975983656943,109,13952,2278.630528233295
