detector,data_mode,family,method,features,val_auc_sampled,waveform_r@1,waveform_r@5,waveform_r@10,waveform_median_true_rank,rerank_r@1,rerank_r@5,rerank_r@10,rerank_r@50,rerank_median_true_rank,valid
ET,pure,SIS,trigger_time_obs_waveform_score_rank_no_skymap,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",0.9999411235555555,0.9416666666666667,0.9806666666666667,0.9873333333333333,1.0,0.8596666666666667,0.984,0.9916666666666667,0.9966666666666667,1.0,3000
ET,pure,PM,trigger_time_obs_waveform_score_rank_no_skymap,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",0.9999990382222222,0.9356666666666666,0.974,0.98,1.0,0.9956666666666667,0.999,0.9996666666666667,0.9996666666666667,1.0,3000
ET,noisy,SIS,trigger_time_obs_waveform_score_rank_no_skymap,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",0.996835642111111,0.407,0.5913333333333334,0.6576666666666666,3.0,0.5246666666666666,0.7233333333333334,0.7803333333333333,0.876,1.0,3000
ET,noisy,PM,trigger_time_obs_waveform_score_rank_no_skymap,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",0.9999218891111112,0.304,0.463,0.5406666666666666,7.0,0.8643333333333333,0.964,0.995,1.0,1.0,3000
LIGO,pure,SIS,trigger_time_obs_waveform_score_rank_no_skymap,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",0.9999190888888888,0.9543333333333334,0.9833333333333333,0.9886666666666667,1.0,0.876,0.9906666666666667,0.9946666666666667,0.998,1.0,3000
LIGO,pure,PM,trigger_time_obs_waveform_score_rank_no_skymap,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",0.999998173111111,0.9546666666666667,0.9843333333333333,0.9883333333333333,1.0,0.9973333333333333,0.999,0.999,0.999,1.0,3000
LIGO,noisy,SIS,trigger_time_obs_waveform_score_rank_no_skymap,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",0.9650902402222221,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.09,0.173,0.22733333333333333,0.4206666666666667,80.0,3000
LIGO,noisy,PM,trigger_time_obs_waveform_score_rank_no_skymap,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",0.9994445964444445,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.268,0.7076666666666667,0.9423333333333334,1.0,3.0,3000
